Año,Provincia,Consulta,Frecuencia,Categoria
2020,SJ,pizza,100,Alimentos y bebidas
2020,SJ,queque,50,Alimentos y bebidas
2020,SJ,pizza hut,43,Alimentos y bebidas
2020,SJ,comida,37,Alimentos y bebidas
2020,SJ,galletas,28,Alimentos y bebidas
2020,SJ,ekono,27,Alimentos y bebidas
2020,SJ,frutas,22,Alimentos y bebidas
2020,SJ,papa johns,22,Alimentos y bebidas
2020,SJ,coca cola,19,Alimentos y bebidas
2020,SJ,dos pinos,19,Alimentos y bebidas
2020,SJ,sushi,17,Alimentos y bebidas
2020,SJ,traductor,15,Alimentos y bebidas
2020,SJ,telegram,15,Alimentos y bebidas
2020,SJ,queques,14,Alimentos y bebidas
2020,SJ,mantequilla,14,Alimentos y bebidas
2020,SJ,postres,14,Alimentos y bebidas
2020,SJ,restaurantes,13,Alimentos y bebidas
2020,SJ,kfc,13,Alimentos y bebidas
2020,SJ,verduras,13,Alimentos y bebidas
2020,SJ,mcdonalds,12,Alimentos y bebidas
2020,SJ,facebook,11,Alimentos y bebidas
2020,SJ,google,11,Alimentos y bebidas
2020,SJ,subway,11,Alimentos y bebidas
2020,SJ,taco bell,11,Alimentos y bebidas
2020,SJ,whisky,11,Alimentos y bebidas
2021,SJ,pizza,100,Alimentos y bebidas
2021,SJ,restaurante,68,Alimentos y bebidas
2021,SJ,queque,47,Alimentos y bebidas
2021,SJ,telegram,43,Alimentos y bebidas
2021,SJ,chocolate,40,Alimentos y bebidas
2021,SJ,pizza hut,36,Alimentos y bebidas
2021,SJ,cafe,34,Alimentos y bebidas
2021,SJ,papa johns,31,Alimentos y bebidas
2021,SJ,restaurantes,31,Alimentos y bebidas
2021,SJ,dos pinos,27,Alimentos y bebidas
2021,SJ,ekono,27,Alimentos y bebidas
2021,SJ,sushi,26,Alimentos y bebidas
2021,SJ,frutas,25,Alimentos y bebidas
2021,SJ,traductor,20,Alimentos y bebidas
2021,SJ,manzana,19,Alimentos y bebidas
2021,SJ,helados,18,Alimentos y bebidas
2021,SJ,tacos,18,Alimentos y bebidas
2021,SJ,whisky,17,Alimentos y bebidas
2021,SJ,subway,16,Alimentos y bebidas
2021,SJ,mcdonalds,16,Alimentos y bebidas
2021,SJ,kfc,15,Alimentos y bebidas
2021,SJ,soda,15,Alimentos y bebidas
2021,SJ,starbucks,15,Alimentos y bebidas
2021,SJ,zanahoria,14,Alimentos y bebidas
2021,SJ,empanadas,14,Alimentos y bebidas
2022,SJ,pizza,100,Alimentos y bebidas
2022,SJ,restaurante,84,Alimentos y bebidas
2022,SJ,leche,83,Alimentos y bebidas
2022,SJ,comida,72,Alimentos y bebidas
2022,SJ,telegram,69,Alimentos y bebidas
2022,SJ,recetas,66,Alimentos y bebidas
2022,SJ,queso,58,Alimentos y bebidas
2022,SJ,chocolate,49,Alimentos y bebidas
2022,SJ,cafe,47,Alimentos y bebidas
2022,SJ,pizza hut,40,Alimentos y bebidas
2022,SJ,dos pinos,35,Alimentos y bebidas
2022,SJ,galletas,33,Alimentos y bebidas
2022,SJ,frutas,31,Alimentos y bebidas
2022,SJ,restaurantes,31,Alimentos y bebidas
2022,SJ,sushi,30,Alimentos y bebidas
2022,SJ,papa johns,28,Alimentos y bebidas
2022,SJ,ekono,27,Alimentos y bebidas
2022,SJ,telegram web,27,Alimentos y bebidas
2022,SJ,traductor,26,Alimentos y bebidas
2022,SJ,helados,23,Alimentos y bebidas
2022,SJ,starbucks,23,Alimentos y bebidas
2022,SJ,mcdonalds,20,Alimentos y bebidas
2022,SJ,soda,19,Alimentos y bebidas
2022,SJ,subway,19,Alimentos y bebidas
2022,SJ,whatsapp,18,Alimentos y bebidas
2020,P,pizza,100,Alimentos y bebidas
2020,P,restaurante,51,Alimentos y bebidas
2020,P,piña,49,Alimentos y bebidas
2020,P,traductor,38,Alimentos y bebidas
2020,P,ceviche,34,Alimentos y bebidas
2020,P,sushi,33,Alimentos y bebidas
2020,P,ekono,32,Alimentos y bebidas
2020,P,restaurants,31,Alimentos y bebidas
2020,P,pizza hut,28,Alimentos y bebidas
2020,P,coca cola,27,Alimentos y bebidas
2020,P,telegram,26,Alimentos y bebidas
2020,P,uvita,22,Alimentos y bebidas
2020,P,restaurantes,20,Alimentos y bebidas
2020,P,yuca,19,Alimentos y bebidas
2020,P,cheesecake,19,Alimentos y bebidas
2020,P,google,18,Alimentos y bebidas
2020,P,papaya,18,Alimentos y bebidas
2020,P,pan casero,17,Alimentos y bebidas
2020,P,facebook,16,Alimentos y bebidas
2020,P,alcohol,15,Alimentos y bebidas
2020,P,tres leches,15,Alimentos y bebidas
2020,P,coronavirus,9,Alimentos y bebidas
2020,P,yelp,7,Alimentos y bebidas
2020,P,crpreviene .com,6,Alimentos y bebidas
2020,P,frozen 2,6,Alimentos y bebidas
2021,P,pizza,100,Alimentos y bebidas
2021,P,restaurante,69,Alimentos y bebidas
2021,P,restaurant,55,Alimentos y bebidas
2021,P,telegram,50,Alimentos y bebidas
2021,P,sushi,40,Alimentos y bebidas
2021,P,uvita,36,Alimentos y bebidas
2021,P,frutas,33,Alimentos y bebidas
2021,P,traductor,32,Alimentos y bebidas
2021,P,restaurants near me,28,Alimentos y bebidas
2021,P,restaurantes,28,Alimentos y bebidas
2021,P,pizza hut,28,Alimentos y bebidas
2021,P,ceviche,26,Alimentos y bebidas
2021,P,google,21,Alimentos y bebidas
2021,P,ekono,17,Alimentos y bebidas
2021,P,cacique,16,Alimentos y bebidas
2021,P,food near me,16,Alimentos y bebidas
2021,P,tiempo,16,Alimentos y bebidas
2021,P,facebook,16,Alimentos y bebidas
2021,P,cheesecake,14,Alimentos y bebidas
2021,P,yuca,14,Alimentos y bebidas
2021,P,tres leches,13,Alimentos y bebidas
2021,P,bloomovie .com,13,Alimentos y bebidas
2021,P,puntos max,6,Alimentos y bebidas
2021,P,soda garabito,5,Alimentos y bebidas
2021,P,juego del calamar,5,Alimentos y bebidas
2022,P,pizza,100,Alimentos y bebidas
2022,P,restaurant,83,Alimentos y bebidas
2022,P,restaurante,71,Alimentos y bebidas
2022,P,restaurants,65,Alimentos y bebidas
2022,P,telegram,63,Alimentos y bebidas
2022,P,frutas,55,Alimentos y bebidas
2022,P,uvita,47,Alimentos y bebidas
2022,P,sushi,43,Alimentos y bebidas
2022,P,traductor,35,Alimentos y bebidas
2022,P,ceviche,30,Alimentos y bebidas
2022,P,restaurants near me,29,Alimentos y bebidas
2022,P,restaurantes,27,Alimentos y bebidas
2022,P,pizza hut,25,Alimentos y bebidas
2022,P,google,22,Alimentos y bebidas
2022,P,papa johns,20,Alimentos y bebidas
2022,P,telegram web,19,Alimentos y bebidas
2022,P,food near me,18,Alimentos y bebidas
2022,P,tea,17,Alimentos y bebidas
2022,P,guanabana,16,Alimentos y bebidas
2022,P,tiempo,15,Alimentos y bebidas
2022,P,facebook,15,Alimentos y bebidas
2022,P,patacones,15,Alimentos y bebidas
2022,P,pan de banano,6,Alimentos y bebidas
2022,P,passion fruit,6,Alimentos y bebidas
2022,P,para que sirven las gomitas de ositos,5,Alimentos y bebidas
2020,A,recetas,100,Alimentos y bebidas
2020,A,pan,100,Alimentos y bebidas
2020,A,pizza,99,Alimentos y bebidas
2020,A,chocolate,56,Alimentos y bebidas
2020,A,pizza hut,41,Alimentos y bebidas
2020,A,piña,41,Alimentos y bebidas
2020,A,galletas,40,Alimentos y bebidas
2020,A,dos pinos,39,Alimentos y bebidas
2020,A,frutas,37,Alimentos y bebidas
2020,A,cerveza,36,Alimentos y bebidas
2020,A,ekono,31,Alimentos y bebidas
2020,A,papa johns,27,Alimentos y bebidas
2020,A,coca cola,26,Alimentos y bebidas
2020,A,traductor,25,Alimentos y bebidas
2020,A,telegram,24,Alimentos y bebidas
2020,A,postres,22,Alimentos y bebidas
2020,A,zanahoria,19,Alimentos y bebidas
2020,A,verduras,17,Alimentos y bebidas
2020,A,salsa blanca,17,Alimentos y bebidas
2020,A,mate,17,Alimentos y bebidas
2020,A,ceviche,16,Alimentos y bebidas
2020,A,google,15,Alimentos y bebidas
2020,A,facebook,15,Alimentos y bebidas
2020,A,alcohol,14,Alimentos y bebidas
2020,A,freidora de aire,14,Alimentos y bebidas
2021,A,pizza,100,Alimentos y bebidas
2021,A,comida,66,Alimentos y bebidas
2021,A,queso,65,Alimentos y bebidas
2021,A,telegram,62,Alimentos y bebidas
2021,A,chocolate,57,Alimentos y bebidas
2021,A,restaurante,57,Alimentos y bebidas
2021,A,queque,52,Alimentos y bebidas
2021,A,dos pinos,48,Alimentos y bebidas
2021,A,cerveza,42,Alimentos y bebidas
2021,A,cafe,40,Alimentos y bebidas
2021,A,piña,37,Alimentos y bebidas
2021,A,galletas,37,Alimentos y bebidas
2021,A,frutas,34,Alimentos y bebidas
2021,A,pizza hut,34,Alimentos y bebidas
2021,A,papa johns,31,Alimentos y bebidas
2021,A,traductor,30,Alimentos y bebidas
2021,A,queques,29,Alimentos y bebidas
