Año,Provincia,Consulta,Frecuencia,Categoria
2020,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2020,SJ,Costa Rica - País en Centroamérica,58,Alimentos y bebidas
2020,SJ,Alimento - Alimento,27,Alimentos y bebidas
2020,SJ,Leche - Lácteo,25,Alimentos y bebidas
2020,SJ,Bizcochuelo - Pastel,25,Alimentos y bebidas
2020,SJ,Carne de pollo - Carne,25,Alimentos y bebidas
2020,SJ,Restaurante - Tipo de organización,22,Alimentos y bebidas
2020,SJ,Pan - Alimento,22,Alimentos y bebidas
2020,SJ,Pastel - Industria alimentaria,19,Alimentos y bebidas
2020,SJ,Carne - Alimento,19,Alimentos y bebidas
2020,SJ,Queso - Alimento,18,Alimentos y bebidas
2020,SJ,Pizza - Comida,17,Alimentos y bebidas
2020,SJ,Pizza Hut - Cadena de restaurantes,17,Alimentos y bebidas
2020,SJ,Salsa - Condimento,17,Alimentos y bebidas
2020,SJ,banana - Fruta,15,Alimentos y bebidas
2020,SJ,Fruta - Comestible,15,Alimentos y bebidas
2020,SJ,Chocolate - Alimento,15,Alimentos y bebidas
2020,SJ,Arroz - Cereal,14,Alimentos y bebidas
2020,SJ,Solanum tuberosum - Planta,12,Alimentos y bebidas
2020,SJ,Horno - Artículo de cocina,12,Alimentos y bebidas
2020,SJ,Café - Bebida,12,Alimentos y bebidas
2020,SJ,Menú - Restaurante,11,Alimentos y bebidas
2020,SJ,Papa John's Pizza - Compañía,11,Alimentos y bebidas
2020,SJ,Cerveza - Bebida alcohólica,11,Alimentos y bebidas
2020,SJ,Carne de cerdo - Carne,11,Alimentos y bebidas
2021,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2021,SJ,Costa Rica - País en Centroamérica,84,Alimentos y bebidas
2021,SJ,Restaurante - Tipo de organización,53,Alimentos y bebidas
2021,SJ,Alimento - Alimento,48,Alimentos y bebidas
2021,SJ,Carne de pollo - Carne,29,Alimentos y bebidas
2021,SJ,Leche - Lácteo,27,Alimentos y bebidas
2021,SJ,Carne - Alimento,25,Alimentos y bebidas
2021,SJ,Bizcochuelo - Pastel,24,Alimentos y bebidas
2021,SJ,Salsa - Condimento,21,Alimentos y bebidas
2021,SJ,Pastel - Industria alimentaria,21,Alimentos y bebidas
2021,SJ,Pizza - Comida,21,Alimentos y bebidas
2021,SJ,Queso - Alimento,21,Alimentos y bebidas
2021,SJ,Pan - Alimento,20,Alimentos y bebidas
2021,SJ,Fruta - Comestible,19,Alimentos y bebidas
2021,SJ,banana - Fruta,19,Alimentos y bebidas
2021,SJ,Menú - Restaurante,18,Alimentos y bebidas
2021,SJ,Telegram - Aplicación,18,Alimentos y bebidas
2021,SJ,Arroz - Cereal,17,Alimentos y bebidas
2021,SJ,Café - Bebida,17,Alimentos y bebidas
2021,SJ,Chocolate - Alimento,17,Alimentos y bebidas
2021,SJ,Cerveza - Bebida alcohólica,16,Alimentos y bebidas
2021,SJ,Papa John's Pizza - Compañía,16,Alimentos y bebidas
2021,SJ,Pizza Hut - Cadena de restaurantes,16,Alimentos y bebidas
2021,SJ,Vino - Bebida alcohólica,15,Alimentos y bebidas
2021,SJ,Helado - Alimento,15,Alimentos y bebidas
2022,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2022,SJ,Costa Rica - País en Centroamérica,90,Alimentos y bebidas
2022,SJ,Restaurante - Tipo de organización,52,Alimentos y bebidas
2022,SJ,Alimento - Alimento,42,Alimentos y bebidas
2022,SJ,Leche - Lácteo,29,Alimentos y bebidas
2022,SJ,Carne de pollo - Carne,27,Alimentos y bebidas
2022,SJ,Telegram - Aplicación,26,Alimentos y bebidas
2022,SJ,Carne - Alimento,25,Alimentos y bebidas
2022,SJ,Fruta - Comestible,24,Alimentos y bebidas
2022,SJ,Pastel - Industria alimentaria,23,Alimentos y bebidas
2022,SJ,Queso - Alimento,23,Alimentos y bebidas
2022,SJ,Pizza - Comida,22,Alimentos y bebidas
2022,SJ,Bizcochuelo - Pastel,22,Alimentos y bebidas
2022,SJ,Salsa - Condimento,21,Alimentos y bebidas
2022,SJ,Café - Bebida,21,Alimentos y bebidas
2022,SJ,Menú - Restaurante,21,Alimentos y bebidas
2022,SJ,Pan - Alimento,20,Alimentos y bebidas
2022,SJ,Arroz - Cereal,20,Alimentos y bebidas
2022,SJ,Chocolate - Alimento,19,Alimentos y bebidas
