Año,Provincia,Consulta,Frecuencia,Categoria
2020,SJ,pizza,100,Alimentos y bebidas
2020,SJ,queque,45,Alimentos y bebidas
2020,SJ,pizza hut,37,Alimentos y bebidas
2020,SJ,comida,33,Alimentos y bebidas
2020,SJ,galletas,25,Alimentos y bebidas
2020,SJ,ekono,24,Alimentos y bebidas
2020,SJ,papa johns,19,Alimentos y bebidas
2020,SJ,frutas,19,Alimentos y bebidas
2020,SJ,coca cola,17,Alimentos y bebidas
2020,SJ,dos pinos,17,Alimentos y bebidas
2020,SJ,sushi,15,Alimentos y bebidas
2020,SJ,traductor,14,Alimentos y bebidas
2020,SJ,telegram,13,Alimentos y bebidas
2020,SJ,queques,13,Alimentos y bebidas
2020,SJ,mantequilla,12,Alimentos y bebidas
2020,SJ,postres,12,Alimentos y bebidas
2020,SJ,restaurantes,12,Alimentos y bebidas
2020,SJ,kfc,11,Alimentos y bebidas
2020,SJ,verduras,11,Alimentos y bebidas
2020,SJ,mcdonalds,10,Alimentos y bebidas
2020,SJ,facebook,10,Alimentos y bebidas
2020,SJ,google,10,Alimentos y bebidas
2020,SJ,subway,10,Alimentos y bebidas
2020,SJ,taco bell,10,Alimentos y bebidas
2020,SJ,whisky,9,Alimentos y bebidas
2021,SJ,pizza,100,Alimentos y bebidas
2021,SJ,restaurante,62,Alimentos y bebidas
2021,SJ,queque,43,Alimentos y bebidas
2021,SJ,telegram,39,Alimentos y bebidas
2021,SJ,chocolate,36,Alimentos y bebidas
2021,SJ,pizza hut,33,Alimentos y bebidas
2021,SJ,cafe,30,Alimentos y bebidas
2021,SJ,papa johns,28,Alimentos y bebidas
2021,SJ,restaurantes,28,Alimentos y bebidas
2021,SJ,dos pinos,24,Alimentos y bebidas
2021,SJ,ekono,24,Alimentos y bebidas
2021,SJ,sushi,24,Alimentos y bebidas
2021,SJ,frutas,23,Alimentos y bebidas
2021,SJ,traductor,18,Alimentos y bebidas
2021,SJ,manzana,17,Alimentos y bebidas
2021,SJ,helados,16,Alimentos y bebidas
2021,SJ,tacos,16,Alimentos y bebidas
2021,SJ,whisky,15,Alimentos y bebidas
2021,SJ,subway,14,Alimentos y bebidas
2021,SJ,mcdonalds,14,Alimentos y bebidas
2021,SJ,soda,14,Alimentos y bebidas
2021,SJ,kfc,14,Alimentos y bebidas
2021,SJ,starbucks,13,Alimentos y bebidas
2021,SJ,zanahoria,13,Alimentos y bebidas
2021,SJ,empanadas,12,Alimentos y bebidas
2022,SJ,pizza,100,Alimentos y bebidas
2022,SJ,restaurante,84,Alimentos y bebidas
2022,SJ,leche,83,Alimentos y bebidas
2022,SJ,comida,72,Alimentos y bebidas
2022,SJ,telegram,70,Alimentos y bebidas
2022,SJ,queso,57,Alimentos y bebidas
2022,SJ,chocolate,49,Alimentos y bebidas
2022,SJ,cafe,45,Alimentos y bebidas
2022,SJ,pizza hut,38,Alimentos y bebidas
2022,SJ,dos pinos,35,Alimentos y bebidas
2022,SJ,galletas,33,Alimentos y bebidas
2022,SJ,restaurantes,31,Alimentos y bebidas
2022,SJ,frutas,30,Alimentos y bebidas
2022,SJ,sushi,29,Alimentos y bebidas
2022,SJ,papa johns,28,Alimentos y bebidas
2022,SJ,telegram web,27,Alimentos y bebidas
2022,SJ,traductor,27,Alimentos y bebidas
2022,SJ,ekono,26,Alimentos y bebidas
2022,SJ,helados,22,Alimentos y bebidas
2022,SJ,starbucks,22,Alimentos y bebidas
2022,SJ,mcdonalds,20,Alimentos y bebidas
2022,SJ,subway,18,Alimentos y bebidas
2022,SJ,whatsapp,18,Alimentos y bebidas
2022,SJ,google,17,Alimentos y bebidas
2022,SJ,taco bell,17,Alimentos y bebidas
2020,P,pizza,100,Alimentos y bebidas
2020,P,restaurante,50,Alimentos y bebidas
2020,P,piña,50,Alimentos y bebidas
2020,P,ceviche,34,Alimentos y bebidas
2020,P,traductor,33,Alimentos y bebidas
2020,P,ekono,32,Alimentos y bebidas
2020,P,sushi,32,Alimentos y bebidas
2020,P,restaurants,31,Alimentos y bebidas
2020,P,pizza hut,28,Alimentos y bebidas
2020,P,telegram,26,Alimentos y bebidas
2020,P,coca cola,25,Alimentos y bebidas
2020,P,uvita,22,Alimentos y bebidas
2020,P,yuca,18,Alimentos y bebidas
2020,P,restaurantes,18,Alimentos y bebidas
2020,P,cheesecake,18,Alimentos y bebidas
2020,P,google,17,Alimentos y bebidas
2020,P,pan casero,16,Alimentos y bebidas
2020,P,facebook,16,Alimentos y bebidas
2020,P,alcohol,15,Alimentos y bebidas
2020,P,papaya,15,Alimentos y bebidas
2020,P,tres leches,15,Alimentos y bebidas
2020,P,coronavirus,8,Alimentos y bebidas
2020,P,crpreviene .com,6,Alimentos y bebidas
2020,P,pie de limon,6,Alimentos y bebidas
2020,P,promo coca cola,6,Alimentos y bebidas
2021,P,pizza,100,Alimentos y bebidas
2021,P,restaurante,67,Alimentos y bebidas
2021,P,restaurant,55,Alimentos y bebidas
2021,P,telegram,49,Alimentos y bebidas
2021,P,sushi,39,Alimentos y bebidas
2021,P,uvita,33,Alimentos y bebidas
2021,P,frutas,32,Alimentos y bebidas
2021,P,traductor,30,Alimentos y bebidas
2021,P,pizza hut,29,Alimentos y bebidas
2021,P,restaurants near me,28,Alimentos y bebidas
2021,P,restaurantes,27,Alimentos y bebidas
2021,P,ceviche,25,Alimentos y bebidas
2021,P,google,20,Alimentos y bebidas
2021,P,food near me,15,Alimentos y bebidas
2021,P,ekono,15,Alimentos y bebidas
2021,P,tiempo,15,Alimentos y bebidas
2021,P,cacique,14,Alimentos y bebidas
2021,P,supermercado,14,Alimentos y bebidas
2021,P,yuca,14,Alimentos y bebidas
2021,P,cheesecake,13,Alimentos y bebidas
2021,P,bloomovie .com,13,Alimentos y bebidas
2021,P,papa johns,8,Alimentos y bebidas
2021,P,traductor de ingles a español,5,Alimentos y bebidas
2021,P,botella tras botella,4,Alimentos y bebidas
2021,P,tacos de birria,3,Alimentos y bebidas
2022,P,pizza,100,Alimentos y bebidas
2022,P,restaurant,79,Alimentos y bebidas
2022,P,restaurante,73,Alimentos y bebidas
2022,P,telegram,65,Alimentos y bebidas
2022,P,restaurants,63,Alimentos y bebidas
2022,P,frutas,56,Alimentos y bebidas
2022,P,uvita,48,Alimentos y bebidas
2022,P,sushi,43,Alimentos y bebidas
2022,P,traductor,34,Alimentos y bebidas
2022,P,restaurants near me,30,Alimentos y bebidas
2022,P,ceviche,28,Alimentos y bebidas
2022,P,restaurantes,28,Alimentos y bebidas
2022,P,pizza hut,25,Alimentos y bebidas
2022,P,telegram web,20,Alimentos y bebidas
2022,P,papa johns,19,Alimentos y bebidas
2022,P,google,19,Alimentos y bebidas
2022,P,food near me,18,Alimentos y bebidas
2022,P,tea,17,Alimentos y bebidas
2022,P,papaya,17,Alimentos y bebidas
2022,P,tiempo,14,Alimentos y bebidas
2022,P,patacones,14,Alimentos y bebidas
2022,P,supermercado,14,Alimentos y bebidas
2022,P,registro civil,13,Alimentos y bebidas
2022,P,facebook,13,Alimentos y bebidas
2022,P,para que sirven las gomitas de ositos,4,Alimentos y bebidas
2020,A,recetas,100,Alimentos y bebidas
2020,A,pan,99,Alimentos y bebidas
2020,A,pizza,99,Alimentos y bebidas
2020,A,chocolate,56,Alimentos y bebidas
2020,A,piña,41,Alimentos y bebidas
2020,A,pizza hut,41,Alimentos y bebidas
2020,A,galletas,40,Alimentos y bebidas
2020,A,dos pinos,39,Alimentos y bebidas
2020,A,frutas,38,Alimentos y bebidas
2020,A,cerveza,36,Alimentos y bebidas
2020,A,ekono,31,Alimentos y bebidas
2020,A,papa johns,28,Alimentos y bebidas
2020,A,traductor,25,Alimentos y bebidas
2020,A,coca cola,25,Alimentos y bebidas
2020,A,telegram,24,Alimentos y bebidas
2020,A,postres,21,Alimentos y bebidas
2020,A,zanahoria,19,Alimentos y bebidas
2020,A,salsa blanca,18,Alimentos y bebidas
2020,A,verduras,17,Alimentos y bebidas
2020,A,mate,16,Alimentos y bebidas
2020,A,ceviche,16,Alimentos y bebidas
2020,A,facebook,15,Alimentos y bebidas
2020,A,google,15,Alimentos y bebidas
2020,A,alcohol,14,Alimentos y bebidas
2020,A,sushi,14,Alimentos y bebidas
2021,A,pizza,100,Alimentos y bebidas
2021,A,comida,66,Alimentos y bebidas
2021,A,queso,65,Alimentos y bebidas
2021,A,telegram,63,Alimentos y bebidas
2021,A,chocolate,57,Alimentos y bebidas
2021,A,restaurante,57,Alimentos y bebidas
2021,A,queque,54,Alimentos y bebidas
2021,A,dos pinos,48,Alimentos y bebidas
2021,A,cerveza,43,Alimentos y bebidas
2021,A,cafe,40,Alimentos y bebidas
2021,A,piña,38,Alimentos y bebidas
2021,A,galletas,37,Alimentos y bebidas
2021,A,frutas,35,Alimentos y bebidas
2021,A,pizza hut,34,Alimentos y bebidas
2021,A,papa johns,32,Alimentos y bebidas
2021,A,traductor,30,Alimentos y bebidas
2021,A,queques,28,Alimentos y bebidas
2021,A,restaurantes,22,Alimentos y bebidas
2021,A,ekono,22,Alimentos y bebidas
2021,A,sushi,20,Alimentos y bebidas
2021,A,verduras,19,Alimentos y bebidas
2021,A,tequila,18,Alimentos y bebidas
2021,A,telegram web,18,Alimentos y bebidas
2021,A,whisky,18,Alimentos y bebidas
2021,A,google,17,Alimentos y bebidas
2022,A,pizza,100,Alimentos y bebidas
2022,A,telegram,87,Alimentos y bebidas
2022,A,chocolate,59,Alimentos y bebidas
2022,A,dos pinos,48,Alimentos y bebidas
2022,A,cafe,46,Alimentos y bebidas
2022,A,frutas,40,Alimentos y bebidas
2022,A,pizza hut,33,Alimentos y bebidas
2022,A,telegram web,31,Alimentos y bebidas
2022,A,traductor,31,Alimentos y bebidas
2022,A,restaurantes,28,Alimentos y bebidas
2022,A,manzana,25,Alimentos y bebidas
2022,A,tacos,25,Alimentos y bebidas
2022,A,sushi,24,Alimentos y bebidas
2022,A,papa johns,23,Alimentos y bebidas
2022,A,google,21,Alimentos y bebidas
2022,A,whatsapp,21,Alimentos y bebidas
2022,A,verduras,21,Alimentos y bebidas
2022,A,tequila,20,Alimentos y bebidas
2022,A,ekono,19,Alimentos y bebidas
2022,A,ceviche,19,Alimentos y bebidas
2022,A,tiempo,18,Alimentos y bebidas
2022,A,hamburguesas,17,Alimentos y bebidas
2022,A,postres,17,Alimentos y bebidas
2022,A,aguacate,17,Alimentos y bebidas
2022,A,whisky,16,Alimentos y bebidas
2020,H,pizza,100,Alimentos y bebidas
2020,H,recetas,83,Alimentos y bebidas
2020,H,queque,58,Alimentos y bebidas
2020,H,pizza hut,46,Alimentos y bebidas
2020,H,papa johns,31,Alimentos y bebidas
2020,H,frutas,29,Alimentos y bebidas
2020,H,ekono,28,Alimentos y bebidas
2020,H,piña,27,Alimentos y bebidas
2020,H,cafe,25,Alimentos y bebidas
2020,H,dos pinos,22,Alimentos y bebidas
2020,H,coca cola,20,Alimentos y bebidas
2020,H,sushi,19,Alimentos y bebidas
2020,H,telegram,17,Alimentos y bebidas
2020,H,traductor,17,Alimentos y bebidas
2020,H,queques,16,Alimentos y bebidas
2020,H,verduras,15,Alimentos y bebidas
2020,H,postres,14,Alimentos y bebidas
2020,H,mcdonalds,14,Alimentos y bebidas
2020,H,restaurantes,13,Alimentos y bebidas
2020,H,whisky,13,Alimentos y bebidas
2020,H,kfc,13,Alimentos y bebidas
2020,H,facebook,13,Alimentos y bebidas
2020,H,google,13,Alimentos y bebidas
2020,H,pan casero,12,Alimentos y bebidas
2020,H,salsa blanca,12,Alimentos y bebidas
2021,H,pizza,100,Alimentos y bebidas
2021,H,restaurante,66,Alimentos y bebidas
2021,H,chocolate,49,Alimentos y bebidas
2021,H,telegram,45,Alimentos y bebidas
2021,H,papa johns,40,Alimentos y bebidas
2021,H,pizza hut,40,Alimentos y bebidas
2021,H,cafe,35,Alimentos y bebidas
2021,H,sushi,31,Alimentos y bebidas
2021,H,dos pinos,28,Alimentos y bebidas
2021,H,ekono,27,Alimentos y bebidas
2021,H,piña,26,Alimentos y bebidas
2021,H,restaurantes,25,Alimentos y bebidas
2021,H,traductor,24,Alimentos y bebidas
2021,H,frutas,23,Alimentos y bebidas
2021,H,mcdonalds,18,Alimentos y bebidas
2021,H,subway,16,Alimentos y bebidas
2021,H,starbucks,15,Alimentos y bebidas
2021,H,whisky,14,Alimentos y bebidas
2021,H,google,14,Alimentos y bebidas
2021,H,pops,14,Alimentos y bebidas
2021,H,kfc,14,Alimentos y bebidas
2021,H,taco bell,13,Alimentos y bebidas
2021,H,facebook,13,Alimentos y bebidas
2021,H,tiempo,13,Alimentos y bebidas
2021,H,telegram web,12,Alimentos y bebidas
2022,H,pizza,100,Alimentos y bebidas
2022,H,restaurante,85,Alimentos y bebidas
2022,H,comida,71,Alimentos y bebidas
2022,H,telegram,68,Alimentos y bebidas
2022,H,pizza hut,43,Alimentos y bebidas
2022,H,chocolate,37,Alimentos y bebidas
2022,H,sushi,34,Alimentos y bebidas
2022,H,dos pinos,33,Alimentos y bebidas
2022,H,restaurantes,30,Alimentos y bebidas
2022,H,frutas,30,Alimentos y bebidas
2022,H,ekono,27,Alimentos y bebidas
2022,H,papa johns,24,Alimentos y bebidas
2022,H,traductor,22,Alimentos y bebidas
2022,H,telegram web,22,Alimentos y bebidas
2022,H,starbucks,19,Alimentos y bebidas
2022,H,whisky,18,Alimentos y bebidas
2022,H,mcdonalds,18,Alimentos y bebidas
2022,H,kfc,18,Alimentos y bebidas
2022,H,whatsapp,18,Alimentos y bebidas
2022,H,pops,17,Alimentos y bebidas
2022,H,tiempo,17,Alimentos y bebidas
2022,H,tea,15,Alimentos y bebidas
2022,H,subway,15,Alimentos y bebidas
2022,H,taco bell,14,Alimentos y bebidas
2022,H,ceviche,14,Alimentos y bebidas
