Año,Provincia,Consulta,Frecuencia,Categoria
2020,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2020,SJ,Costa Rica - País en Centroamérica,56,Alimentos y bebidas
2020,SJ,Alimento - Alimento,24,Alimentos y bebidas
2020,SJ,Leche - Lácteo,21,Alimentos y bebidas
2020,SJ,Bizcochuelo - Repostería,21,Alimentos y bebidas
2020,SJ,Carne de pollo - Carne,21,Alimentos y bebidas
2020,SJ,Restaurante - Tipo de organización,19,Alimentos y bebidas
2020,SJ,Pan - Alimento,18,Alimentos y bebidas
2020,SJ,Pastel - Industria alimentaria,15,Alimentos y bebidas
2020,SJ,Carne - Alimento,15,Alimentos y bebidas
2020,SJ,Queso - Alimento,14,Alimentos y bebidas
2020,SJ,Pizza - Comida,14,Alimentos y bebidas
2020,SJ,Salsa - Condimento,13,Alimentos y bebidas
2020,SJ,Pizza Hut - Cadena de restaurantes,13,Alimentos y bebidas
2020,SJ,banana - Fruta,12,Alimentos y bebidas
2020,SJ,Fruta - Comestible,12,Alimentos y bebidas
2020,SJ,Chocolate - Alimento,11,Alimentos y bebidas
2020,SJ,Arroz - Cereal,11,Alimentos y bebidas
2020,SJ,Solanum tuberosum - Planta,9,Alimentos y bebidas
2020,SJ,Horno - Artículo de cocina,9,Alimentos y bebidas
2020,SJ,Café - Bebida,9,Alimentos y bebidas
2020,SJ,Menú - Restaurante,9,Alimentos y bebidas
2020,SJ,Papa John's Pizza - Compañía,9,Alimentos y bebidas
2020,SJ,Cerveza - Bebida alcohólica,9,Alimentos y bebidas
2020,SJ,Carne de cerdo - Carne,9,Alimentos y bebidas
2021,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2021,SJ,Costa Rica - País en Centroamérica,80,Alimentos y bebidas
2021,SJ,Restaurante - Tipo de organización,48,Alimentos y bebidas
2021,SJ,Alimento - Alimento,45,Alimentos y bebidas
2021,SJ,Carne de pollo - Carne,24,Alimentos y bebidas
2021,SJ,Leche - Lácteo,23,Alimentos y bebidas
2021,SJ,Carne - Alimento,20,Alimentos y bebidas
2021,SJ,Bizcochuelo - Repostería,20,Alimentos y bebidas
2021,SJ,Pastel - Industria alimentaria,18,Alimentos y bebidas
2021,SJ,Salsa - Condimento,18,Alimentos y bebidas
2021,SJ,Pizza - Comida,18,Alimentos y bebidas
2021,SJ,Queso - Alimento,17,Alimentos y bebidas
2021,SJ,Pan - Alimento,17,Alimentos y bebidas
2021,SJ,Fruta - Comestible,16,Alimentos y bebidas
2021,SJ,banana - Fruta,15,Alimentos y bebidas
2021,SJ,Menú - Restaurante,15,Alimentos y bebidas
2021,SJ,Telegram - Aplicación,15,Alimentos y bebidas
2021,SJ,Arroz - Cereal,14,Alimentos y bebidas
2021,SJ,Café - Bebida,14,Alimentos y bebidas
2021,SJ,Chocolate - Alimento,14,Alimentos y bebidas
2021,SJ,Cerveza - Bebida alcohólica,14,Alimentos y bebidas
2021,SJ,Papa John's Pizza - Compañía,13,Alimentos y bebidas
2021,SJ,Pizza Hut - Cadena de restaurantes,13,Alimentos y bebidas
2021,SJ,Helado - Postre helado,12,Alimentos y bebidas
2021,SJ,Vino - Bebida alcohólica,12,Alimentos y bebidas
2022,SJ,Receta culinaria - Género literario,100,Alimentos y bebidas
2022,SJ,Costa Rica - País en Centroamérica,87,Alimentos y bebidas
2022,SJ,Restaurante - Tipo de organización,44,Alimentos y bebidas
2022,SJ,Alimento - Alimento,36,Alimentos y bebidas
2022,SJ,Leche - Lácteo,25,Alimentos y bebidas
2022,SJ,Carne de pollo - Carne,23,Alimentos y bebidas
2022,SJ,Telegram - Aplicación,22,Alimentos y bebidas
2022,SJ,Carne - Alimento,21,Alimentos y bebidas
2022,SJ,Fruta - Comestible,20,Alimentos y bebidas
2022,SJ,Pastel - Industria alimentaria,19,Alimentos y bebidas
2022,SJ,Queso - Alimento,19,Alimentos y bebidas
2022,SJ,Pizza - Comida,19,Alimentos y bebidas
2022,SJ,Bizcochuelo - Repostería,18,Alimentos y bebidas
2022,SJ,Salsa - Condimento,18,Alimentos y bebidas
2022,SJ,Menú - Restaurante,18,Alimentos y bebidas
2022,SJ,Café - Bebida,17,Alimentos y bebidas
2022,SJ,Pan - Alimento,17,Alimentos y bebidas
2022,SJ,Arroz - Cereal,17,Alimentos y bebidas
