ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934","Este lugar es un paraíso de comida gluten free, se encuentra en Tibas pero hacen envíos. Ellos preparan los alimentos en una cocina aparte por lo que es una excelente opción gluten free sin contaminación cruzada . Excelente sabor y muchas opciones:)",12-abril-2022,5
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934","Hoy domingo estaba buscando en Uber eats, dónde comer chino. Y pues me di cuenta que cerca de mí hotel está este sitio muy bueno. Lo recomiendo.",4-agosto-2019,4
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934","La comida tiene muy buen sabor, un precio razonable y competitivo. El lugar no es lujoso pero es limpio y amplio. Tienen muy buena atención y su principal ventaja es que tienen un menú especial para personas alérgicas al gluten, ahí encuentran varios platos ricos y a un buen precio.",8-abril-2019,4
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934",Verdadera comida oriental. Excelente atención. Ambiente agradable. Precios razonables y mucha variedad en el menú. Ofrecen paquetes familiares muy atractivos.,25-septiembre-2017,5
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934",Cómo señalo en el título. Conozco Zonni desde hace más de 20 o 25 años. No ha cambiado mucho. Bonito lugar. Precio  razonable,13-febrero-2017,3
g309293-d9767594,Zonni,4.0,"China, Internacional","Detras de la Pops del Cruce de Llorente, San José 1714-1100 Costa Rica","9.949948,-84.07934",El restaurn es limpio y bonito. Tienen un buen servicio. La comida es rica.Además organizan eventos.Existen precios de almuerzos ejecutivos y más.He comido allí desde hace como 20 años.,1-noviembre-2016,4
g309293-d8754296,Restaurante Lung Wah,5.0,Asiática,"100 Oeste Del Castro's Bar, San José Costa Rica","9.94787,-84.0903",¡Los dueños son muy amigables! La comida es muy buena y el sabor es muy auténtico chino. El precio es razonable también. ¡Recomendado!,12-marzo-2018,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Pacific Tours nos dió un servicio excelente servicio. Nosotros estábamos planeando desde hace vario tiempo un viaje Isla Tortuga y habíamos reservado con bastante anticipación, sin embargo, tuvimos un percance de último momento y tuvimos que cancelar. Pese a que estábamos resignados a perder el dinero, al notificar a Pacific Tours se mostraron muy comprensivos y anuentes a reprogramar el tour, y nos permitierion volverlo a realizar sin ningún problema y fue para nosotros muy fácil volver a encontrar una fecha en la cual acomodarnos. Muchísimas gracias a Pacific Tours por su humanidad y comprensión en estas situación.",4-marzo-2020,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Puntuales, excelente atención, atentos a los más mínimos detalles, amabilidad y buen trato, adicionalmente con conocimiento de la zona y de la historia de los diferentes lugares por los que se pasa o se visita",2-marzo-2020,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Las costillas de JR Ribs son espectaculares. Además, te atienden súper rápido. Me encanta este restaurante!!!",22-enero-2020,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","El servicio y la atención es buena, aunque considero que pueden mejorar un poco, la comida excelente, las costillas de lo mejor y el resto de los platillos igual, recomendado",10-diciembre-2019,4
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625",Es mi primera visita y fue una buenisima opción. El sabor de las costillas muy bueno. El servicio fue muy bueno también,24-septiembre-2019,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Excelente servicio, excelente comida y variedad muy buen sabor tanto de las carnes como los acompañamientos Muy recomendable",21-julio-2019,5
g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Llevo comiendo en este lugar desde que estaba ubicado en Barrio Turnón pero desde que se pasaron al local en Tibás ha ido de mal en peor. No me molesta pagar caro por algo bueno, pero aquí la relación calidad-precio está muy mal. Espero que mejore porque sino va a desaparecer pronto, ya qué hay mucha competencia actualmente. La atención del personal es buena pero la comida nada que ver.",5-junio-2019,2
