ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Fui con mi familia por un brunch, nos encantó la comida, muy buenos precios y la atención excepcional. Probamos el pollo achatado, plato estrella del restaurante, y nos encantó. También probamos las empanadas, tortillas aliñadas, Gallo pinto con carne (10/10) y el plátano con queso, todo delicioso. 100% recomendado",1-agosto-2022,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",La mejor comida en la carretera en Costa Rica! Un restaurante familiar que prepara todo delicioso y con mucho cariño!,9-abril-2022,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Excelente en todo, especialmente la torta del tren. ¡Deliciosas! Y la cocinera es un amor. No duden en parar a comer aquí. Les encantará",24-octubre-2021,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Platos típicos, ricos y hechos con cariño.La atención de 10 y la historia de la hacienda muy interesante.Es una asociación de mujeres por lo que es un plus para ir a comer y conocer su historia",16-junio-2021,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Desde el saludo inicial, el muchacho súper respetuoso, cortés y amigable. La comida DELICIOSA un plato súper lleno, y el precio no podría ser más bajo! Este lugar es una auténtica joya!!Delicioso todo, muchísimas gracias!! Una excelente manera de comenzar nuestro paseo. Todos deberían venir a comer aquí!!! (No hay foto porque me emocioné al ver la comida )",12-junio-2021,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",El espectáculo natural en donde se aprecia la salida de murciélagos es inpresionante y maravilloso salen cuando cae la tarde y se puede tomar excelentes fotografías y videos. El personal del Hotel ANTIGUA HACIENDA EL PEROTE es muy amable y ofrecen un servicio excelente y personalizado.,27-mayo-2021,4
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Auténtica comida típica de primerísima calidad, preparada por unas señoras emprendedoras de la zona que se esmeran en ofrecer excelente servicio al cliente y excelente comida. Súper recomendado!!!!!",7-diciembre-2020,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Muchas felicidades un lugar muy lindo, aseado y delicioso la comida. Sigan adelante con ese maravilloso espíritu del servicio al cliente!!!",22-noviembre-2020,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Super recomendado, cocinan a leña y la comida es espectacular, la atención es increíble y es un buen punto para pasarla con la familia🙌👌.",22-noviembre-2020,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",Un restaurante que llevan 3 señoras y hacen una comida riquisima! Son muy agradables y serviciales. Nos invitaron a arroz con leche como postre! Lo recomiendo En restaurang som drivs av 3 damer med underbar mat. Mycket bra service samt trevliga att prata med. De bjöd oss på typ Risgrynsgröt med lite lime i (söt) Kan rekommendera,22-marzo-2020,4
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Comida es muy bueno. Buen servicio e camareros amables! Gracias. The food is great, service is great and the stuff is friendly :)",15-diciembre-2019,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",Excelente servicio! Excelente la comida! La atención es buenísima! El precio super cómodo! La comida es deliciosa y es bastante se los recomiendo! Muy familiar y tienen café refill hecho en percolador es delicioso muy pocos lugares sirven tan buen café! Aceptaron que mi perro se quedara cerca nuestro! Todo es excelente! 5 estrellas! Y buen parqueo! Todo es buenísimo! Super recomendado! ,17-noviembre-2019,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",Fantástica comida y servicio espectacular una joya escondida en costa rica. Volvería mil veces si tuviera la oportunidad,16-noviembre-2019,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Comida rica, variada, buena atención a precio accesiblecomida nacional de muy buen sabor, las personas fueron atentas",2-octubre-2019,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606","Muy agradable , comida muy rica . Punto estratégico ..... como si me cocinara mi abuela super recomendado",9-septiembre-2019,5
g1383516-d4084862,Antigua Hacienda,4.5,"Latina, Centroamericana, Costarricense, Internacional","Jaco Road Pozon, Orotina 20901 Costa Rica","9.885515,-84.57606",Es una buena opción en la zona. La atención muy buena. La comida sencilla pero sabrosa. Te dan un postre de cortesía de marañón con dulce de tapa. Exótico y rico.,4-mayo-2019,3
