ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Deliciosa comida. Súper gustoso el curry y el postre espectacular!!El curry del pollo estaba cremoso, bien logrado. El naan se les quemó en algunas partes pero estaba rico 😋",4-julio-2022,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Excelente servicio, cordialidad, y amabilidad por parte del personal. Felicitaciones al Chef que los sabores en sus platillos son exquisitos. Un 100  de 100!",23-abril-2022,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","El lugar muy acogedor, buen servicio y los sabores muy ricos sin embargo el pescado que ordené era pangasio, no lo que uno esperaría cuando paga ₡8000 por plato",14-agosto-2021,3
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","I lived in India for 16 years, and I love the Indian food, this restaurant really express and keep the real essence of the typical Indian food. I went and apart of the food the extremely well treat that Avatar gives, makes you feel at home. A real home maker Indian food. Recomiendo a ojos cerrados este lugar, barato y realmente sabor indio, viví en india y me ha costado encontrar un buen restaurante indio en Costa Rica, y lo encontré finalmente. Pero aparte de la comida el buen trato que dan sus anfitriones hacen la comida entrañable y con ganas de volver. Y muy buen precio !!",2-mayo-2021,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Somos de Costa Rica y nos encantó este restaurante, tanto la comida como la atención del personal son excelentes. Definitivamente volveremos pronto.",17-abril-2021,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","¡Un regalo para el paladar!!! Exquisitos sabores, amplio menú, un lugar fino en cada detalle, música agradable y una excelente atención. Recomendado 100%",20-febrero-2021,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Mi señora y yo fuimos por los excelentes comentarios y podemos confirmar la excelente atención, el ambiente y la comida maravillosa.",22-noviembre-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Increíble cena, toda la comida es deliciosa!!! Todo lo que pedimos estaba tan bueno que no tengo la menor duda en volver!",30-octubre-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502",Este restaurante es riquísimo. El servicio es excelente y la comida tiene un sabor impresionantemente bueno. Súper recomendado para comer comida hindú.,22-agosto-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Excelente restaurante indio en Escazu. El dueño es indú canadiense llegado a Costa Rica y pone todo su conocimiento para la elaboración de excelentes platos, las salsas son elaboradísimas y originales, tambien los entrantes. Una gran opción a tener en cuenta.",29-junio-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Pedimos naan, arroz basmati, butter chicken, sambal y postres. Todo estuvo delicioso y la atención super cálida y personalizada.Muy recomendado!",13-junio-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Visitamos el local ubicado en Mall Santa Ana, la comida y la atención son simplemente excelentes. Altamente recomendado para saborear una comida diferente.",11-marzo-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","La comida esta bien al igual que el servicio , el lugar acogedor y con interesante diseño. El precio es el normal en esta clase de lugares pero las porciones son más pequeñas.",2-febrero-2020,4
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502",La comida es deliciosa y el servicio súper bueno. Excelente opción. El menú ejecutivo de medio día es muy basto y el precio es muy correcto.,26-enero-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502",Vinimos a cenar por recomendación de trip advisor.  Muy complacidos con el servicio y la calidad de la comida.  Muchas opciones gluten free y también conscientes de otras alergias alimentarias como lácteos y soya.  Lo recomiendo y de fijo volveremos.,7-enero-2020,5
g309294-d15082448,AVATAR INDIAN CUSINE,5.0,"De la India, Saludable","Centro Comercial La Paco, Escazú, S.J., San Rafael de Escazu 10201 Costa Rica","9.930563,-84.1502","Fuimos a este restaurante sin esperar mucho en cuanto a atencion y comida, pero realmente fue una bella sorpresa.   La comida deliciosa y mas aun la atencion.   Excelente ambiente y precios.   Atendido por el dueño lo que hace una diferencia.   Súper recomendado",25-noviembre-2019,5
