ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","Venimos hace 4 años para nuestra primera cita. Regresamos el domingo para salir juntos y era todo perfecto como recordamos. Comimos el El curry rogan josh de cordero que siempre es un exito. Tambien las bebidas lassi de mango que son super, super necesarias. El mesero estuvo generoso con su tiempo y obviamente tenia conocimiento muy profundo de la comida. Buenas experiencia y lo mejor comida hindu de costa rica",9-agosto-2022,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","Deliciosa comida, el servicio espectacular. Nos atendió Vinny y el servicio fue increíble, atendió todas nuestras dudas. Esta es nuestra primera vez y de seguro volveremos.",13-junio-2022,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519",Pedimos la opción que incluye distintos postres! no pensé que la zanahoria fuera tan versátil! excelente opción para compartir.Excelente servicio y atención por parte del personal.Las costillas de cordero podrían mejorar.,2-junio-2022,4
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","El Restaurante es super lindo, muy classico y fidedigno al estilo de original de la Sagrada India. La limpieza es realmente increible, los cubiertos, jarrones de agua tazitas para las salsas son de cobre, lo que hace mas saludable a los alimentos.Las preparaciones son autenticas, respetan los sabores y colores tradicionales ( se lo puedo decir porque' he visitado India desde el norte al sur por 3 veces ). Io y mi esposo regresando de nuestro viaje a FL nos quedamos una noche a SJ y mi esposo a escojido el Restaurante para mi, pues fue' realmente una sorpresa.",8-mayo-2022,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","Todo estuvo delicioso, la comida fue un 10/10 y Shendee nos atendió de increíble forma, nos dio muy buenas recomendaciones y estuvo muy atento. Fue una experiencia inmejorable.",29-enero-2022,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","El restaurante es muy bonito y colorido, la atención es excelente y la comida muy autóctona, con buena presentación, sabor, tamaño y porción.",23-octubre-2021,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","¡Buenísimo como siempre!  Decidí traer a mi novia por primera vez,  le agrado mucho la experiencia algo diferente para salir de la rutina.",23-octubre-2021,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","Es la segunda que vez que venimos y nos gusta mucho, tanto la atención que es excelente como la decoración y, por supuesto, la comida, muy sabrosa, y adaptan el nivel de picante de cada plato a los gustos del cliente. Tomamos un entrante para compartir y un plato principal cada uno, las raciones son abundantes.Repetiremos seguro ",23-octubre-2021,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519","Inolvidable!Mi esposa y yo fuimos a este restaurante por casualidad. Ya lo que nos atrajo fue la decoración. Todo es perfecto, los muebles, los objetos, la vajilla. Una vez instalado, no tuvimos que esperar, el servicio fue muy rápido y particularmente profesional, ¡amabilidad y consejos además de eso!Pero todo esto no es nada comparado con la insuperable calidad y sabor de los platos que se ofrecen. Las cantidades también están presentes. Gran variedad de curry, tandoori, entrantes.Soy francés y después de haber viajado mucho, también vivido en San José, solo puedo recomendar este restaurante, el único restaurante indio verdadero y único en el país. Ha pasado mucho tiempo desde que tuve tanto placer con una comida.",5-agosto-2021,5
g1122840-d5039529,Naans & Curries - Restaurante de la comida india,4.5,"De la India, Asiática, Saludable","CC Momentum Lindora, Santa Ana 10901 Costa Rica","9.953142,-84.19519",La comida deliciosa y el trato es excelente. Súper recomendado para ir en familia y para celebraciones importantes.,6-mayo-2021,5
