ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Cerca de San Jose, justo sobre la carretera principal a JACO, la comida estaba muy buena, servicio rapido y agradable, tienen mucha variedad de platillos. Ambiente agradable EXCELENTE VISTA!",18-abril-2021,4
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Respecto a los platillo simplemente una delicia recomendado para ir a comer despues de un buen tour en cuanto al ambiente es tranquilo y muy ameno, y la viste es preciosa. Frente a la playa y un lugar tranquilo para conversar y disfrutar de una buena comida",8-enero-2020,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Esquisita comida, mariscos frescos un poco elevado precio pero la verdad muy buena comida, servicio al cliente excelente, linda ubicación frente al mar",2-enero-2020,4
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Ordené un filet de pescado con camarones y espárragos en salsa blanca con queso gratinado.Muy buen sabor, el producto fresco y buena presentación.El servicio también estuvo bien y muy rápidos para traer la comida y la cuenta.",24-noviembre-2019,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","La más exquisita y deliciosa comida, los mas altos estándares, los mejores mariscos.Da gusto ser atendido por su personal, querrás volver!No lo piense dos veces en visitar Restaurante Vista Mar, súper recomendado!!Ah por cierto, tienen un túnel de lujo que conecta con la playa, una experiencia inolvidable.",15-noviembre-2019,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Si deseas obtener calidad en un almuerzo o cena basado en mariscos, sin duda el Restaurante Vista Mar complacerá tu deseo.Ubicado frente al mar, deleitará tu paladar. No dudes en pedir una “cabezona”, una taza de sopa de mariscos que “levanta muertos” en todo el sentido de la palabra.Los precios no son baratos, pero tampoco son extremadamente caros para la zona en la que está, la calidad y la atención.Excelente alternativa para degustar de mariscos frescos de la zona. ",26-mayo-2019,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","La comida deliciosa y el servicio es muy bueno, excelente vista al frente del mar, el precio es adcesible, recomendado totalmente.",22-diciembre-2018,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306",La comida es deliciosa y tienen un excelente servicio. Con una hermosa vista al mar. Cerca de San José y Jaco.,13-mayo-2018,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Pasé de regreso a mi casa para disfrutar de un almuerzo de cierre de mis vacaciones. El cual estuvo excelente!!! Comimos ceviche, spaguetti con mariscos y arroz con mariscos y los 3 platos estuvieron excelentes. La atención estuvo muy buena también, el servicio fue bastante rápido y los precios muy accesibles... nada excesivo. Sin duda volveré!! La vista es muy bonita frente al mar.",6-abril-2018,4
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Una excelente opción para degustar una de las mejores opciones en mariscos en la zona de Tárcoles, Garabito.Si vas a almorzar o cenar y en definitiva quieres disfrutar de una de las mejores sopas de mariscos en la zona, no dudes en ordenar “La Cabezona”, un plato especialidad de la casa que hará de tu amor por los mariscos algo realmente mágico.Acompaña tu cena con gran variedad de licores, no dejes de probar el mojito o las margaritas y disfruta de una relación “calidad-precio” bastante buena para la zona.",31-diciembre-2017,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Mi esposo y yo no nos podemos perdernos de venir a disfrutar en este restaurante cada vez que visitamos Jacó, está ubicado el Tarcoles, ofrecen la mejor calidad de platillos, cockteles y un muy bien servicio, una combinación muy difícil de encontrar hoy en día en restaurantes, desde el gerente, el Sr Ronald Sandí, hasta sus saloneros (pregunten por Minor)!",10-octubre-2017,5
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Este restaurante está a un lado de la carretera camino a Jacó y rodeado de mucha naturaleza y grandes árboles. Yo comí un arroz con pollo y es de buen tamaño la porción, mi esposo pidió un ceviche de camarón y este si es una porción pequeña. Me parece que al local le falta aseo porque la mesa tenía polvo. En cuanto a los precios si me parecen un poco elevados.",6-septiembre-2017,3
g858541-d8001129,Restaurante Vista Mar,4.5,"Latina, Mariscos, Centroamericana, Costarricense","La Pita, Tarcoles, Puntarenas La Pita, Tárcoles, Garabito Municipality Costa Rica","9.744022,-84.6306","Los platillos que probamos estaban deliciosos , personalmente pedí pulpo , pero también probé la mariscada ( ver Foto ) Como buena mexicana pedí tortillas de maíz y si tenían ; quede encantada con mis tacos de pulpo al ajillo .Muy buena atención de los meseros , la única razón por la que no le doy 5 estrellas es por el calor que sentíamos al comer a pesar de los abanicos que tienen en el techo . ",12-abril-2017,4
