,Zona,termino,menciones
0,Cinco Esquinas,Agua de Pipa,0
1,Cinco Esquinas,agua de sapo,0
2,Cinco Esquinas,agua dulce,0
3,Cinco Esquinas,Agua fresca,0
4,Cinco Esquinas,Aguardiente,0
5,Cinco Esquinas,alitas de pollo,0
6,Cinco Esquinas,almejas,0
7,Cinco Esquinas,almejas al ajillo,0
8,Cinco Esquinas,Almuercitos de repollo,0
9,Cinco Esquinas,Almuerzo campesino,0
10,Cinco Esquinas,Almuerzo envuelto en hoja,0
11,Cinco Esquinas,Almuerzo indígena,0
12,Cinco Esquinas,Angú de guineo,0
13,Cinco Esquinas,Arepas,0
14,Cinco Esquinas,aros de calamar fritos,0
15,Cinco Esquinas,arracache,0
16,Cinco Esquinas,Arroces,0
17,Cinco Esquinas,arrollados de pan,0
18,Cinco Esquinas,arroz cantonés,0
19,Cinco Esquinas,Arroz cantonés o comida china local,0
20,Cinco Esquinas,arroz cantonés/chino,0
21,Cinco Esquinas,arroz con atún,0
22,Cinco Esquinas,arroz con calamar,0
23,Cinco Esquinas,Arroz con camarones,0
24,Cinco Esquinas,Arroz con camarones y pollo,0
25,Cinco Esquinas,Arroz con cerdo,0
26,Cinco Esquinas,Arroz con leche,0
27,Cinco Esquinas,Arroz con leche con coco,0
28,Cinco Esquinas,Arroz con leche con miel de papaya,0
29,Cinco Esquinas,Arroz con mariscos,0
30,Cinco Esquinas,Arroz con palmito,0
31,Cinco Esquinas,Arroz con pescado seco,0
32,Cinco Esquinas,arroz con pianguas,0
33,Cinco Esquinas,Arroz con piña,0
34,Cinco Esquinas,Arroz con pollo,0
35,Cinco Esquinas,arroz con pulpo,0
36,Cinco Esquinas,Arroz de leche,0
37,Cinco Esquinas,Arroz de maíz,0
38,Cinco Esquinas,arroz frito,0
39,Cinco Esquinas,Arroz guacho,0
40,Cinco Esquinas,arroz mar y tierra,0
41,Cinco Esquinas,arroz paella,0
42,Cinco Esquinas,arrozarroz con almendras,0
43,Cinco Esquinas,asado,0
44,Cinco Esquinas,asiática,0
45,Cinco Esquinas,atol de ayote,0
46,Cinco Esquinas,Atol de maíz,0
47,Cinco Esquinas,Atoles,0
48,Cinco Esquinas,Atolillo de arroz de leche,0
49,Cinco Esquinas,atún aderezado,0
50,Cinco Esquinas,Ayote con dulce,0
51,Cinco Esquinas,ayote guiso,0
52,Cinco Esquinas,Ayote sazón en dulce,0
53,Cinco Esquinas,baguel de huevo,0
54,Cinco Esquinas,baguel de salmón,0
55,Cinco Esquinas,bami,0
56,Cinco Esquinas,banana fritters,0
57,Cinco Esquinas,Barbudos,0
58,Cinco Esquinas,batidos y frescos,0
59,Cinco Esquinas,bebida hiel,0
60,Cinco Esquinas,beefsteak,0
61,Cinco Esquinas,Bien me sabe,0
62,Cinco Esquinas,Biscocho,0
63,Cinco Esquinas,bisteck,3
64,Cinco Esquinas,Bizcocho,0
65,Cinco Esquinas,Bizcocho casero,0
66,Cinco Esquinas,Bizcocho típico de la abuela,0
67,Cinco Esquinas,blue crabs,0
68,Cinco Esquinas,Bocado de reina,0
69,Cinco Esquinas,bocas,0
70,Cinco Esquinas,bochinche de casado,0
71,Cinco Esquinas,bonetes,0
72,Cinco Esquinas,bowl de frutas con yogurt,0
73,Cinco Esquinas,Budin,0
74,Cinco Esquinas,Buñuelos,0
75,Cinco Esquinas,Buñuelos de naranja,0
76,Cinco Esquinas,burritos,0
77,Cinco Esquinas,Cabrilla en salsa,0
78,Cinco Esquinas,cacerola de queso,0
79,Cinco Esquinas,cachos,0
80,Cinco Esquinas,café,0
81,Cinco Esquinas,Café frío con mora,0
82,Cinco Esquinas,Cajeta de la paciencia,0
83,Cinco Esquinas,Cajeta de marañón,0
84,Cinco Esquinas,Cajetas con zanahoria y naranja agria,0
