ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Fue una grata experiencia. La pasta a la rueda magnífica, buenas entradas, atención muy especial, semifreddo al final exquisito y buen café expreso cerrando con un digestivo “on the house”. Todo muy bien !!",23-julio-2022,4
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Es un lugar agradable y con buen servicio al cliente, en un principio me preocupé porque la limonada con hierbabuena tenía un sabor por debajo del promedio, no obstante, el resto de platillos estaban excelentes, al igual que los postres que probamos. Cuando sea posible volveré.",15-junio-2022,4
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Los calamares simplemente deliciosos, en general en nuestro viaje decidimos regresar por qué nos trataron increíble, la comida fue más que deliciosa !",5-junio-2022,5
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","La comida es deliciosa. De entrada los calamares están exquisitos!!  Y la atención ni se diga, todos increíblemente amables y atentos. Una parada necesaria si visitas San José.",5-junio-2022,5
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Excelente atención,  delicioso todo, el antipasto y la focaccia deliciosas, los postres, el spaguetti a la carbonara es todo un excelente    show .",18-mayo-2022,5
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","De los mejores atenciones y comida de San Jose.  El servicio y la atencion son inmejorables. Si el dueño esta cerca, lo notaras ya que es muuuy atento.Lo unico a mejorar son los postres. No he tenido suerte con ellos en mis visitas.",23-marzo-2022,4
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Todo buenísimo, la pasta esta muy buena, es artesana, es mas lo haces allí mismo y las salsas también buenísimas, carbonara, con trufa, tomate.. platos muy originales, el servicio correcto y el encargado muy simpático. Los postres de qual mas bueno. Era nuestro ultimo dia en Costa Rica y quisimos ir a comer algo de pasta y nos llevemos un buen recuerdo de Italia, perdón de Costa Rica. Jaja",5-febrero-2022,5
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297",Espectacular cena. Muy muy buena experiencia. 💯 recomendable .Servicio excepcional. Alimentos de calidad .Sin duda volveremos antes de abandonar el país.,29-diciembre-2021,5
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Después de 40 min de espera, una de las órdenes venia mal, y tardaron otros 15 min en traer el nuevo plato. Mala atención al cliente.",9-octubre-2021,2
g309293-d3845939,Sapore Trattoria,4.5,"Italiana, Pizzería, Mediterránea, Europea, Napolitana, De Campania, Toscana, Romana, De Lacio, Del centro italiano, Del sur italiano","Avenida Segunda, 1 Cuadra Al Oeste de la Plaza la Democracia Curridabat, de la POPS 75 al este, Frente al CFIA, San José Costa Rica","9.932472,-84.07297","Excelente restaurante, la comida deliciosa y muy buena atención. Los postres son muy buenos, el canoli es espectacular.",25-septiembre-2021,5
