,Tipo_Comida,Calificacion,Comentario,Calificacion_Comentario
0,"Parrillada, Churrasquería",negative,llevo comiendo en este lugar desde que estaba ubicado en barrio turnón pero desde que se pasaron al local en tibás ha ido de mal en peor no me molesta pagar caro por algo bueno pero aquí la relación calidadprecio está muy mal espero que mejore porque sino va a desaparecer pronto ya qué hay mucha competencia actualmente la atención del personal es buena pero la comida nada que ver,2
1,"Parrillada, Churrasquería",negative,el día de ayer fui a festejar el cumpleaños de mi esposo eramos los únicos en el restaurante y aun así duraron demasiado en atendernos luego entre los acompañamientos pedimos papa asada resulta que le tiran un chorrito de natilla como de decoración por lo cual llamamos al salonero para que nos trajera mas y se fue a hablar por teléfono a los 10 min de esperar me levante a pedírsela nuevamente me dijo nuevamente que ya me la llevaban luego de eso como 10 min mas tarde salio otro salonero de la cocina por lo cual me tuve que levantar nuevamente a pedirla luego de unos minutos me llevaron aproximadamente una onza en una tacita por la cual me cobraron 1300 colones ademas de la mala atención siento que ha bajado muchísimo la calidad costillas re cocinadas secas y sin suficiente salsa ademas de precios excesivos por años desde que estaban junto al simon bolivar fueron uno de mis lugares preferidos siempre con precios altos pero lo valían ahora por 68900 5 costillas secas 4 gaseosas 1 orden de papas y 1 onz de natilla por la que te tienes que levantar 3 veces me parece excesivo,1
2,De la India,positive,lindo restaurante con variados platillos y bebidas presentación de los platos muy bueno bebidas grandes,4
3,De la India,negative,es una barbaridad que anuncien almuerzos ejecutivos a un precio que no incluye nada de lo que tiene un almuerzo ejecutivo normal ejemplo anuncian 3950 colones por la carne más barata y arroz si se quiere refresco sube otra carne sube ensalada sube y ni que decir de la entrada mejor dar el precio real con lo que tiene un almuerzo real lástima porque hay buena atención y se come rico,1
4,De la India,positive,fuimos a almorzar con la familia y todos quedamos encantados con la deliciosa comida especialmente porque cuando de comer sin gluten se trata es sumamente difícil encontrar un lugar adecuado además cocinan sin aceite de soya y eso también es difícil de encontrar para los que somos alérgicos a la soya la velada estuvo muy agradable y desde ya estamos pensando regresar para disfrutar nuevamente de esta deliciosa experiencia,5
5,De la India,positive,muy buena atención de todos los que trabajan allí excelentes recomendaciones calidad de la comida muy buena y el lugar es tranquilo,5
6,De la India,positive,hemos ido ya varias veces la comida siempre deliciosa y una excelente atención celebré mi cumpleaños aquí y hasta me llevaron un postre delicioso,5
7,De la India,positive,excelente atención y comida deliciosa además de pequeños detalles como una cortesía de uno de sus de platillos era un tipo de pan hecho con lentejas y otros ingredientes no me recuerdo su nombre son detalles que llenan de satisfacción y ganas de visitarlos nuevamente,5
8,De la India,positive,el lugar pequeño pero bien decorado ambiente agradable la comida es muy sabrosa sabores accesibles y nuevos para quien no conoce de la gastronomía quizás les falta un poco de guía para las personas que no conocen del menú y en general la gastronomía de la india el servicio estuvo muy bien los precios accesiblesnormales el punto alto del lugar es que cuentan con un menú inmensamente variado para todos los gustos,4
9,De la India,positive,mi familia y yo 4 adultos como comida india pero nos encantó los platos que se sirven aquí de hecho nos eligieron por unanimidad volver a este lugar en lugar de explorar otras opciones elegantes y seductoras están equipadas de la cena la segunda noche el servicio era agradable principalmente fue la comida picante y sabrosa sin tonterías incluso el pan era sorprendentemente bueno y cuán emocionante será buena relación calidadprecio me pareció que por el precio,5
13,Mariscos,positive,fuimos un domingo tan pronto como el restaurante abrió sus puertas sorprendentemente abrieron la puerta a pocos minutos temprano y nos dejó entrar nos sentábamos afuera mis hijos tenían las tiras de pollo y mi marido y yo compartimos las el camarón y cajún patatas fritas todo estaba delicioso volveremos,5
14,"Española, Mediterránea",positive,he ido varias veces y estoy seguro de querer volver un menú que le recuerda cualquier almuerzo con vista a la giralda hoy tuve el placer de degustar una paella de mariscos con mi familia además de un cochinillo asado y debo decir que era simplemente espectacular la porción de paella dice ser para 10 pero alcanza para más comensales el cochinillo a la altura de los mejores lugares de españatodos quedamos satisfechos y contentos de la elección,5
15,"Mexicana, Latina",positive,durante nuestra visita de trabajo en la academia nacional de bomberos de costa rica decidimos alojarnos en el hotel hyatt ubicado en la plaza momentum por las noches buscamos opciones para cenar siendo la más destacada experiencia la vivida en este restaurant de comida mexicana fue tan grata la experiencia que terminamos cenando ahi durante tres noches,5
16,"Mexicana, Latina",negative,comida con poco sabor y de baja calidad para el precio cobrado pedimos costillas de cerdo y tenían una mínima cantidad de carne casi todo era grasa además de tener la textura del cerdo recocinado parecían añejas la atención y las bebidas estuvieron bien,2
17,"Churrasquería, Latina, Argentina",negative,platillo de camarones a 17000 colones 17000 30 dólares camaroncitos de bolsa como en la princesa marina mejor comprarlos en oceánicanos trajeron un corte de carne incomible y con la pasta de equivocaron vean el tamaño,2
18,"Churrasquería, Latina, Argentina",negative,la comida ea en realidad muy estándar más bien comercial en nada se asemeja al estilo argentino pero lo peor de la experiencia es el pésimo servicio que uno recibe para nada recomendado,1
19,"Churrasquería, Latina, Argentina",negative,en general cuando recibes el plato que ordenasteel plato se mira vacío la ensalada viene en un plato aparte y la ensalada es igual de corriente a la que preparo en casa lechuga con tomate y un poco de zanahoria los refrescos igualmente super corrientes el plato promedio cuesta 15 mil colonespero en mi caso no veo un gran sabor que haga valer el precio la atención del mesero también escasa diría que apenas cumple en resumen primera y última vez que vengo prefiero cocinar en casa cualquier corte de la carniceria de mi barrio,1
20,"Churrasquería, Latina, Argentina",positive,he visitado este restaurante unas 3 veces el servicio es bueno y en dos ocasiones la comida estaba excelente,3
21,"Churrasquería, Latina, Argentina",negative,el espacio es muy reducido y tardan demasiado en servir el plato fuerte los meseros son muy despreocupados de la atención a los clientes,2
