,ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
0,g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","Llevo comiendo en este lugar desde que estaba ubicado en Barrio Turnón pero desde que se pasaron al local en Tibás ha ido de mal en peor. No me molesta pagar caro por algo bueno, pero aquí la relación calidad-precio está muy mal. Espero que mejore porque sino va a desaparecer pronto, ya qué hay mucha competencia actualmente. La atención del personal es buena pero la comida nada que ver.",5-junio-2019,2
1,g309293-d3173320,JR Ribs,3.5,"Parrillada, Churrasquería","En el inicio de la ruta 32 Centro Comercial Tournón, San José 506 Costa Rica","9.943119,-84.07625","El día de ayer fui a festejar el cumpleaños de mi esposo eramos los únicos en el restaurante y aun así duraron demasiado en atendernos, luego entre los acompañamientos pedimos papa asada, resulta que le tiran un chorrito de natilla como de decoración, por lo cual llamamos al salonero para que nos trajera mas, y se fue a hablar por teléfono, a los 10 min de esperar me levante a pedírsela nuevamente me dijo nuevamente que ya me la llevaban, luego de eso como 10 min mas tarde salio otro salonero de la cocina por lo cual me tuve que levantar nuevamente a pedirla, luego de unos minutos me llevaron aproximadamente una onza en una tacita, por la cual me cobraron 1300 colones, ademas de la mala atención siento que ha bajado muchísimo la calidad costillas re cocinadas, secas y sin suficiente salsa ademas de precios excesivos, por años desde que estaban junto al simon bolivar fueron uno de mis lugares preferidos, siempre con precios altos pero lo valían, ahora por 68900 5 costillas secas, 4 gaseosas, 1 orden de papas y 1 onz de natilla por la que te tienes que levantar 3 veces, me parece excesivo.",21-agosto-2018,1
2,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Lindo restaurante  con variados platillos y bebidas, presentación de los platos muy bueno, bebidas grandes.",14-junio-2018,4
3,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Es una barbaridad que anuncien almuerzos ejecutivos a un precio que no incluye nada de lo que tiene un almuerzo ejecutivo normal. Ejemplo, anuncian 3950 colones por la carne más barata y arroz. Si se quiere refresco, sube, otra carne, sube, ensalada, sube y ni que decir de la entrada. Mejor dar el precio real con lo que tiene un almuerzo real. Lástima porque hay buena atención y se come rico.",19-junio-2017,1
4,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Fuimos a almorzar con la familia y todos quedamos encantados con la deliciosa comida, especialmente porque cuando de comer sin gluten se trata es sumamente difícil encontrar un lugar adecuado, además cocinan sin aceite de soya y eso también es difícil de encontrar para los que somos alérgicos a la soya. La velada estuvo muy agradable y desde ya estamos pensando regresar para disfrutar nuevamente de esta deliciosa experiencia!",1-junio-2017,5
5,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Muy buena atención de todos los que trabajan allí, excelentes recomendaciones, calidad de la comida muy buena y el lugar es tranquilo.",29-noviembre-2016,5
6,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743",Hemos ido ya varias veces. La comida siempre deliciosa y una excelente atención. Celebré mi cumpleaños aquí y hasta me llevaron un postre delicioso!,3-octubre-2016,5
7,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Excelente atención, y comida deliciosa!! Además de pequeños detalles como una cortesía de uno de sus de platillos (era un tipo de pan hecho con lentejas y otros ingredientes; no me recuerdo su nombre), son detalles que llenan de satisfacción y ganas de visitarlos nuevamente.",26-septiembre-2016,5
8,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","El lugar pequeño pero bien decorado, ambiente agradable. La comida es muy sabrosa, sabores accesibles y nuevos para quien no conoce de la gastronomía. Quizás les falta un poco de guía para las personas que no conocen del menú y en general la gastronomía de la India. El servicio estuvo muy bien, los precios accesibles/normales. El punto alto del lugar es que cuentan con un menú inmensamente variado para todos los gustos. ",3-abril-2016,4
9,g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Mi familia y yo (4 adultos) como comida india pero nos encantó los platos que se sirven aquí. De hecho, nos eligieron por unanimidad volver a este lugar, en lugar de explorar otras opciones, elegantes y seductoras, están equipadas de la cena la segunda noche. El servicio era agradable; principalmente fue la comida. picante y sabrosa, sin tonterías. Incluso el pan era sorprendentemente bueno (y cuán emocionante será?) buena relación calidad-precio, me pareció que, por el precio.",6-junio-2015,5
10,g1887338-d3265135,Go Fish Seafood Co.,4.5,Mariscos,"Del fresh market 100 norte mano derecha Guayabos, Curridabat 11801 Costa Rica","9.925733,-84.02751","Cuando descubro un restaurante los hago en etapas y realmente la primera prueba de Este restaurantes ha sido fatal , pedimos dos entradas para compartir y unas bebidas ,, el bucket de papas y mariscos , un precio nada generoso y comparada con el engaño de porción , gigante a simple vista , un 75% papas , de resto muchas conchas empanizadas uno que otro camarón pequeño y trozo de pescado un aro de calamar si acaso , no se qué concepto de mariscos y tienen allí pero realmente empanizar conchas es lo más estafador que pueden vender hacer volumen de algo que es al atractivo del “plato” donde la mayoría son papas , acompañada de una “ tártara” no se pero no perdono el uso de mayonesa de tarro , me parece que al menos un restaurante que figura en La lista de mejores de la zona y de mariscos deberían hacrr su propia tártara , que por cierto la tártara lleva algo más que pepinillos . ₡9350 por comer papas y conchas con Hellmans , no no no . Un tartar de atún que es un insulto a la cocina tradicional , un marinado nada especial , a pura soya , un corte bruto una presentación de soda , una porción decente pero sin mucho sabor servido en un bowl sin cariño sin personalidad un sabor nada particular , algo simple tosco , común y rápido, un tartar que debería ser algo especial , hay que esforzarse por convertirlo en un estilo de soda e le queda grande el nombre de un platillo tan icónico .... en fin decepcionante , esperaba más del 2 restaurante mejor calificado de curridabat.Rescato el servicio bastante profesional bastante amable y bueno . Y si lo voy a decir, no pueden tener mesas de soda donde los bordes están carcomidos por el uso , si no quieren poner mantel ,cambien esas mesas que ya dieron lo suyo o restaurenlas .",16-marzo-2019,2
