,Tipo_Comida,Calificacion_Comentario,Comentario,Comentario corregido
0,"Mexicana, Pizzería, Mariscos, Costarricense, Saludable",positive,"Fuimos a Pala para cenar y fue espectacular, como siempre, tuvimos la langosta y atún cuenco de arroz. 5 estrellas para este lugar y servicio.","Fuimos a Pala para cenar y fue espectacular, como siempre, tuvimos la langosta y atún cuenco de arroz. 5 estrellas para este lugar y servicio."
1,"Mariscos, Peruana, Latina, Sudamericana, Centroamericana",positive,"Pedimos el tartar de atún como entrada, el Linguini de mariscos y el Pulpo a la parrilla. Muy bueno todo!","Pedimos el tartar de atún como entrada, el Linguini de mariscos y el Pulpo a la parrilla. Muy bueno todo!"
2,"Italiana, Pizzería, Saludable",positive,"Un buen lugar para ir en pareja o con amigos en un ambiente agradable y una comida deliciosa!!! Es un lugar tranquilo, como para hablar un rato","Un buen lugar para ir en pareja o con amigos en un ambiente agradable y una comida deliciosa!!! Es un lugar tranquilo, como para hablar un rato"
3,"Latina, Centroamericana, Costarricense",positive,"El lugar tiene una localización impresionante, con una vista realmente digna de disfrutar. La comida me pareció un poco cara respecto de la calidad. Si van por la noche, aseguren de llevar abrigo que hace frío allá arriba!","El lugar tiene una localización impresionante, con una vista realmente digna de disfrutar. Si van por la noche, aseguren de llevar abrigo que hace frío allá arriba!"
4,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,Tienen que mejorar el servicio al cliente son muy lentos y tener cuidado con la limpieza del lugar pero se come bien la olla de carne es muy Rica la recomiendo,se come bien la olla de carne es muy Rica la recomiendo
5,"China, Asiática",,"Estábamos desesperados por comida china. Sin embargo, para dar contexto, China nativas que tienen altos estándares para comida china. Este no la marca. El sabor es claramente dirigido a los Costarricenses, no podría incluso probar encontrar camareros y camareras que hablaban el idioma. Menú era en español/inglés.Me ofrecieron comida típica de que probablemente la mayoría no satisfacer todos los paladares chinos. Los precios eran comparables al resto de los restaurantes a los que fuimos, no ""económico"" si estás buscando y esperando. bastante caro teniendo en cuenta lo que se estaba dando. No volvería otra vez.","Estábamos desesperados por comida china. Sin embargo, para dar contexto, China nativas que tienen altos estándares para comida china. Este no la marca. El sabor es claramente dirigido a los Costarricenses, no podría incluso probar encontrar camareros y camareras que hablaban el idioma. Menú era en español/inglés.Me ofrecieron comida típica de que probablemente la mayoría no satisfacer todos los paladares chinos. Los precios eran comparables al resto de los restaurantes a los que fuimos, no ""económico"" si estás buscando y esperando. bastante caro teniendo en cuenta lo que se estaba dando. No volvería otra vez."
6,"Latina, Bar, Centroamericana, Costarricense, Fusión",positive,"Nuestro hotel recomendado este restaurante y era muy bueno. Yo tenía pollo y mi marido tenía carne y ambos eran excelentes. No era barato, pero nos dieron un montón de comida para nuestro dinero! Rápido y agradable servicio. Fantástica ubicación, justo al otro lado de la calle del Museo Nacional.","Nuestro hotel recomendado este restaurante y era muy bueno. Yo tenía pollo y mi marido tenía carne y ambos eran excelentes. No era barato, pero nos dieron un montón de comida para nuestro dinero! Rápido y agradable servicio. Fantástica ubicación, justo al otro lado de la calle del Museo Nacional."
7,"Mexicana, Internacional",positive,"Visite el restaurante para el almuerzo y probe uno de los platos del menu especial de almuerzo. el lugar es muy lindo, la atencion buena, el precio de este menu es tambien bueno.La comida estaba buena pero no era nada especial y la porcion me parecio un poco pequena.","Visite el restaurante para el almuerzo y probe uno de los platos del menu especial de almuerzo. el lugar es muy lindo, la atencion buena, el precio de este menu es tambien bueno."
8,"Japonesa, Sushi, Asiática, Bar, Pub, Saludable",positive,La comida es muy buena y el servicio es estupendo. Me gustó mucho este lugar para comer fuera.Yo recomendaría a nadie que vaya allí y pasar un buen rato,La comida es muy buena y el servicio es estupendo. Me gustó mucho este lugar para comer fuera.Yo recomendaría a nadie que vaya allí y pasar un buen rato
9,"Bar, Pizzería, Costarricense, Sudamericana",positive,Este fue un gran ambiente y un bar que te hizo sentir siempre bienvenida y las bebidas a buen precio,Este fue un gran ambiente y un bar que te hizo sentir siempre bienvenida y las bebidas a buen precio
10,"Latina, Mariscos, Centroamericana, Costarricense",positive,Me encantó la salada cesar y el ceviche de pulpo 🐙 saludos desde Brasil 🇧🇷 Comida de calidad en Costa Rica,Me encantó la salada cesar y el ceviche de pulpo 🐙 saludos desde Brasil 🇧🇷 Comida de calidad en Costa Rica
11,Fusión,positive,"El local es precioso, pero la comida tiene que mejorar como el servicio. Yo no estaba impresionado con este lugar. Mantente alejado del ""Clericó"" no es bueno en absoluto!",El local es precioso
12,"Latina, Mariscos, Centroamericana, Costarricense, Fusión",positive,"La comida es excelente y a un precio decente, el lugar es muy agradable especialmente para tomar un aperitivo por la tarde y un par de cervezas.","La comida es excelente y a un precio decente, el lugar es muy agradable especialmente para tomar un aperitivo por la tarde y un par de cervezas."
13,"Pizzería, Pub, Estadounidense",positive,"Ambiente arenoso, buen servicio, precios razonables.Mejor hamburguesa en América Latina Parking al lado. La cerveza está fría.","Ambiente arenoso, buen servicio, precios razonables.Mejor hamburguesa en América Latina Parking al lado. La cerveza está fría."
14,"Italiana, Mediterránea, Pizzería",positive,"Ubicado en el segundo piso de Escazú Village, tiene un menú variado sin ser nada fuera de lo común, los platos muy más o menos. Nada especial. Servicio bueno Precios medio-alto","Ubicado en el segundo piso de Escazú Village, tiene un menú variado sin ser nada fuera de lo común, los platos muy buenos. Servicio bueno Precios medio-alto"
15,"Internacional, Estadounidense, Saludable, Centroamericana, Costarricense, Contemporánea",positive,"Siempre es un gusto compartir en familia en este restaurante, el personal hace la visita muy amena. Un menú muy variado con excelentes precios. En nuestra visita fuimos atendidos por Chestre, exaltamos su grandiosa atención. Los felicitamos!","Siempre es un gusto compartir en familia en este restaurante, el personal hace la visita muy amena. Un menú muy variado con excelentes precios. En nuestra visita fuimos atendidos por Chestre, exaltamos su grandiosa atención. Los felicitamos!"
16,"Mariscos, Centroamericana, Internacional, Contemporánea",positive,"Comimos en limón, todo una vez o más durante visita a Jaco; siempre es el lugar más agradable con la mejor comida y ambiente por lo que a nosotros respecta. Es como un regalo para nosotros, un poco caro, pero vale la pena. Esta vez, a pesar de escuchar todas las ofertas tan capaz recitado de nuestro camarero, Iván, elegimos el filet mignon. fue magnífico; perfectamente sazonada y preparado, ya que habíamos solicitado. preguntamos a oír el postre menú recitado, pero nos dimos cuenta que realmente no teníamos habitación después de nuestro perfecto entrante.Volveremos otra vez el próximo año por lo menos una vez durante nuestras vacaciones!","Comimos en limón, todo una vez o más durante visita a Jaco; siempre es el lugar más agradable con la mejor comida y ambiente por lo que a nosotros respecta. Es como un regalo para nosotros, un poco caro, pero vale la pena. Esta vez, a pesar de escuchar todas las ofertas tan capaz recitado de nuestro camarero, Iván, elegimos el filet mignon. fue magnífico; perfectamente sazonada y preparado, ya que habíamos solicitado. preguntamos a oír el postre menú recitado, pero nos dimos cuenta que realmente no teníamos habitación después de nuestro perfecto entrante.Volveremos otra vez el próximo año por lo menos una vez durante nuestras vacaciones!"
17,"Mariscos, Sudamericana, Costarricense",positive,Excelente opción de mariscos frescos!!!Atención personalizada!! Me comí un pargo rojo relleno de mariscos🤩🤤😋,Excelente opción de mariscos frescos!!!Atención personalizada!! Me comí un pargo rojo relleno de mariscos🤩🤤😋
18,"Mexicana, Latina, Peruana, Bar, Sudamericana, Centroamericana, Costarricense",positive,"La decoración y el ambiente del lugar es genial. Buena música, también. El sándwich vegetariano y los tacos no eran nada especial. Volvería para bebidas con amigos, ya que hay algunos cócteles interesantes.","La decoración y el ambiente del lugar es genial. Buena música, también. El sándwich vegetariano y los tacos no eran muy especiales. Volvería para bebidas con amigos, ya que hay algunos cócteles interesantes."
19,"Parrilla, Fusión",positive,"Todo sobre Graffiti es genial. Las bebidas son Point, la comida es deliciosa y el personal es muy atento. Volveré pronto. :)","Todo sobre Graffiti es genial. Las bebidas son Point, la comida es deliciosa y el personal es muy atento. Volveré pronto. :)"
20,"Latina, Mariscos, Centroamericana, Costarricense, Fusión",positive,"Esta es una visita obligada comer en Jaco, el personal es profesional y muy amable, muy servicial y genial comunicadores! Tienen una buena Wiifi y quedamos muy contentos para mí para sentarse a 2 1/2 horas, mientras esperaba para un paseo en una tarde. Bebí una margarita y tenía las alas de pollo que estaban deliciosos! Fuimos a otro día para una comida completa de carne y era preciosa.","Esta es una visita obligada comer en Jaco, el personal es profesional y muy amable, muy servicial y genial comunicadores! Tienen una buena Wiifi y quedamos muy contentos para mí para sentarse a 2 1/2 horas, mientras esperaba para un paseo en una tarde. Bebí una margarita y tenía las alas de pollo que estaban deliciosos! Fuimos a otro día para una comida completa de carne y era preciosa."
21,"Española, Mediterránea",positive,"He ido varias veces y estoy seguro de querer volver. Un menú que le recuerda cualquier almuerzo con vista a La Giralda. Hoy tuve el placer de degustar una paella de mariscos con mi familia, además de un cochinillo asado y debo decir que era simplemente espectacular. La porción de paella dice ser para 10, pero alcanza para más comensales. El cochinillo, a la altura de los mejores lugares de España.Todos quedamos satisfechos y contentos de la elección.","He ido varias veces y estoy seguro de querer volver. Un menú que le recuerda cualquier almuerzo con vista a La Giralda. Hoy tuve el placer de degustar una paella de mariscos con mi familia, además de un cochinillo asado y debo decir que era simplemente espectacular. La porción de paella dice ser para 10, pero alcanza para más comensales. El cochinillo, a la altura de los mejores lugares de España.Todos quedamos satisfechos y contentos de la elección."
22,N/E,positive,"La atención fue muy buena, el mesero que nos atendió nos dio muy buenas recomendaciones. Comimos como entrada una crema de espárragos, de plato fuerte un filete Mignon y un Pulpo al grill, de postre una Panna cotta de frutos rojos. Debo resaltar que la panna cota es DELICIOSA, para los que no somos tan amantes del dulce y nos gusta el ácido ésta es la mezcla perfecta. ","La atención fue muy buena, el mesero que nos atendió nos dio muy buenas recomendaciones. Comimos como entrada una crema de espárragos, de plato fuerte un filete Mignon y un Pulpo al grill, de postre una Panna cotta de frutos rojos. Debo resaltar que la panna cota es DELICIOSA, para los que no somos tan amantes del dulce y nos gusta el ácido ésta es la mezcla perfecta. "
23,"Latina, Costarricense",positive,No hay nada especial en este restaurante. Me sentí como si nuestro camarero era molesto que no hablaban español. Yo tenía el plato de marisco y mi marido pidió el chuletón. Nuestro servicio no era muy bueno. La vista es estupenda. La comida era normal.,No hay nada especial en este restaurante. Me sentí como si nuestro camarero era molesto que no hablaban español. Yo tenía el plato de marisco y mi marido pidió el chuletón. Nuestro servicio no era muy bueno. La vista es estupenda. La comida era normal.
