ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743",Celebré mis 23 años junto con otras 10 personas y la atención al cliente fue increíble. La comida espectacular. Estuvieron super atentos a nuestras necesidades y fueron muy amables durante todo el transcurso de la noche. Sin mencionar la mesa super bien preparada y decorada.Muchas gracias por la increíble experiencia.,26-julio-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","La comida espectacular.Shinde nos ha atendido de manera amable, servicial y profesional Deben venir en familia",10-julio-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Vinny nos atendió súper bien, siempre amable y servicial. La comida deliciosa como siempre. También le agradecemos al chef que nos preguntara cómo estaba la comida. Súper  recomendado. ¡Muchas gracias por todo!🙏🏽NamastE",6-julio-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Me atendió Shinde un salonero muy simpático y amable, la comida es simplemente espectacular principal mente los hongos masala, los batidos y el té fueron igual o mejor que la comida. Muy recomendado la esperiencia y en un lugar precioso",16-junio-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743",La comida estuvo deliciosa. Nos atendió Shinde. El pollo curry tenía un muy buen sabor al igual que el Tikka Masala.,11-abril-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Excelente atencion al cliente,platos exqusitos y espectacular atencion al cliente y un servicio a la mesa muy completo,Vinny es una gran persona y excelente ayuda en el restaurante",1-marzo-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Muy buena la comida y la atención , sabores originales y un servicio a l mesa muy completo , Vinny es una gran persona",1-marzo-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Muy buena atención y excelente comida, el ambiente muy ordenado y tranquilo, la atención al cliente muy servicial !!!!",1-marzo-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743",Siempre recibimos una excelente atención y sin dudas la mejor comida hindú de San José. Muy buena relación calidad precio en el menú el cual es muy variado.,16-febrero-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743",Deliciosa comida con excelentes anfitriones autóctonos que te explican las dudas de sus comidas. Pronto regresaremos a probar mas variedad de platillos. ¡Felicidades a todo el equipo de Naans en Pinares!,11-febrero-2022,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Uno de mis restaurantes favoritos, la comida deliciosa y mucha variedad. El postre es delicioso! Atención al cliente excelente Shinde!!",12-diciembre-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Excelente servicio con la atención de Shindey, el cordero delicioso, el lugar espacioso y bien ventilado lo recomiendo para venir en familia 👍🏼",12-diciembre-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","La comida deliciosa, servicio y atención 10/10, precio razonable, el tamaño de la porción muy bien. Recomendado totalmente. Muchísimas gracias",11-diciembre-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","El trato de Shinde fue muy eficiente, amable. La comida estuvo deliciosa, como siempre. Uno siempre vuelve donde fue feliz y por eso siempre vamos a Naans & Curries.",23-octubre-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Mi comida favorita.!! Lo mejor, el Garlic Naan y el Butter Chicken 🔥🔥🔥El Lassi de Mango, una delicia 😋 Realmente se acercan al verdadero sabor de la India 🇮🇳 sus sabores son tan intensos que siempre dan ganas de volver.Más que recomendado.",3-octubre-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Todo el personal que atiende son súper atentos para orientarnos a elegir la mejor opción del menú, mas siendo la primera vez que mi familia degustaba este tipo de comida, la cual es deliciosa. Fue la mejor experiencia para probar algo nuevo y súper bueno. Fue el mejor regalo de cumpleaños que le hice a mi hijo y quedó fascinado",9-agosto-2021,5
g1887338-d7361004,Naans & Curries Pinares,5.0,De la India,"Momentum Pinares, Tres Rios 5 Opp. Walmart, Curridabat 11801 Costa Rica","9.910639,-84.01743","Servicio muy rápido. El menú estaba en inglés lo cual dificultó entender lo que traía el platillo. La comida estuvo bien, es muy condimientada pero exactamente eso es lo que esperábamos.",10-abril-2021,4
