ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Bonito lugar, excelente comida, muy buena atención, parqueo seguro.Buen lugar para asistir solo o en grupos.",13-enero-2020,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Un lugar informal y con una carta relativamente pequeña, pero muy rico. No es caro, así que la relación calidad precio me parece excelente.Buen servicio también. Raciones bastante grandes!",21-septiembre-2019,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Nos pareció un restaurante muy pero muy bueno, los platillo frescos, el servicio excelente, las porciones muy acorde con el precio, la hamburguesa de pescado estuvo genial, de ahora en adelante siempre que pasemos por esta ruta, ya sabemos cual es la parada obligatoria",19-abril-2019,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Me sentí cómoda, tienen muy buen servicio al cliente, el muchacho que nos atendió fue muy eficiente y atento. La comida muy buena y muy buena relación precio-calidad-cantidad.Lo recomiendo.",13-abril-2019,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Hoy llegué a cenar a un lugar del cual vi muy buenas referencias y la verdad es que quedé impresionado, tanto por la comida como la atención. Me gustó mucho y espero volver pronto.",12-abril-2019,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Visite el restaurante con mi familia y amigos en un paseo por la zona. Al llegar la decoración nos llamó la atención pero al probar la comida nos encantó El ceviche de pescado fresco, buen sabor y balanceado. El arroz de la casa, el filete de corvina y hasta el menú de niños fue delicioso. Precio totalmente de acuerdo a la porción y su calidad La atención pronta, detallada y amena Definitivamente si buscan una opción para comer, se los recomiendo ",6-febrero-2019,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",El lugar ademas de acogedor tiene un servicio al cliente increible y ni que decir de la comida super sabrosa y con mucha cantidad. Super recomendado para familias y grupos ya que el lugar es super espacioso,2-enero-2019,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",El mesero dio una excelente atención y las recomendaciones fueron súper acertadas. Las costillas riquísimas,31-diciembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Simplemente increíble, buena atención y muy rica comida, perfecto para pasar un buen rato en familiaRecomendado al 100%",28-diciembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Me encantó comer en este sitio , la atención al cliente es muy buena , la comida muy rica espero que algún día lo visiten",11-diciembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",Seguimos la recomendación de TripAdvisor y no falló... Un lugar con muy buena comida en la misma carretera. Excelente atención!,20-septiembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","He ido varias veces. La última pedí un pargo entero y estaba estupendo. En el punto preciso de humedad; ni seco ni todavía un poco crudo. En otras ocasiones he comido platillos cubanos, y los han servido de manera excelente.",10-septiembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",Excelente atención y la comida muy deliciosa. Es un lugar que deja con ganas volver a visitar.Recomendado tanto para nacionales como para extranjeros ,2-septiembre-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Para empezar Los frescos naturales un exito (Guanabana y Piña) son de verdad como tienen que ser. Los arroces una muy buena alternativa en cantidad y calidad, hasta para compartir 2 personas un mismo plato. Excelente servicio!",2-agosto-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Excelente comida, el lugar muy bonito y la decoración y el chiliguaro es de lo mejor 👌🏼Ubicado sobre la carretera a Jacó.",24-junio-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Encantador lugar, Excelente atención, menú de pasos con degustación de grandes vi os de la Bodega. Lugar para conocer",15-mayo-2018,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Pasé por un café, y terminé saboreando un espectacular sandwich cubano de cerdo. El lugar está bellamente decorado, la cocina luce impecable y el personal es pura vida!",19-abril-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Concepto bar grill, tema pirata , decoración y ambiente acorde , muy agradable , el lomito delicioso , personal muy amable y ameno , recomendado !!!!",20-marzo-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",Excelente atención y la comida es deliciosa. Tiene un ambiente muy agradable y la variedad de platillos es muy amplia.,6-marzo-2018,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Producto de las interminables presas saliendo de Playa Jacó, decidimos comer algo para aligerar el tiempo, de casualidad pasamos por el Restaurante Los Toneles y sin ninguna razón nos detuvimos a comer algo, en verdad les dijo, son de esas casualidades que suceden... nos pedimos un casado con pescado y en verdad fue algo delicioso, todo, desde la presentación del plato (sobre una hoja de tamal..gracioso verdad) hasta su sabor fue exquisito, la atención del salonero muy buena... Eso si.. no es un lugar barato, mas bien de media gamma, pero este platillo (que era el mas cómodo) en verdad resulto ser una buena elección.",20-febrero-2018,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",Excelente comida y excelente servicio! Se los recomendamos ampliamente! Él lomito y la langosta deliciosos!!!!,24-diciembre-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Pedimos un ribeye 3/4 el cual estuvo muy bien.Aunque las guarniciones podrían mejorar.Lo que si me desanimo completamente fue la corvina mainiere que pedí.Ya que aparte de carecer de sabor proprio de la receta o sea una receta muy mala elaborada, lo que me llamo la atención poderosamente fue como lograron desmejorar esa proteína eligiendo margarina sobre la clásica mantequilla animal que debe usarse... es lamentable ver; como por un asunto de economía un restaurante decide engañar a sus clientes para ahorrarse unos pesos por un plato que considero además estaba bien cobrado.Espero que este comentario sirva para que analicen sus inventarios y valoren el poder de los ingredientes de calidad.Debo recalcar la amabilidad y el buen servicio del personal que nos atendió. ",12-noviembre-2017,2
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Muy ricos y bien presentados los platos, además de rápidos y jugosos. Pan casero y salsas deliciosas. Hechos  con buen gusto e ingredientes. Muchas gracias",17-septiembre-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Muy bueno como siempre , sabor de la comida  y servicio de primera. Es de los mejores restaurantes que he visitado en costa rica.",3-septiembre-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",great food great service food greatmejor restaurante en area cerca de los sueños... no se encuentra comida tan local en los sueños.. todo es turismo....,27-agosto-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","La comida es deliciosa, el lugar es muy agradable y el servicio de primera. Vale la pena venir después de visitar la playa.",13-agosto-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Excelente el servicio y la comida, un lugar acogedor y los platos que he degustado excelentes, los mejillones mis preferidos junto con el mejor mojito que he probado👌🏼",12-agosto-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Excelente la comida, a precios razonables, la calidez humana aunada al sabor cubano lo hacen un lugar que hay que visitar y tenerlo siempre presente cuando se visita la zona. La presentación de los alimentos, la variedad y los mojitos de otro nivel. Definitivamente el mejor de la region. ",12-agosto-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Buena opción para compartir un rato ameno con los amigos, excelentes platillos precio justo y muy buena atención",11-agosto-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",La cena estuvo deliciosa con una atención  excelente. Un ambiente muy bonito y tranquilo. Súper recomendado!,11-agosto-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Están los mejores mariscos  y platillos que se pueda probar , un gran ambiente ,recomendado y garantizado.",31-julio-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Excelente comida platos únicos y excelentes servicio, además lo postres deliciosos,recomiendo que prueben la natilla catalana !!!!¡¡Recomendado!!",30-julio-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Excelente opción con una decoración diferente a los restaurantes del país, el restaurante esta decorado con elementos de Piratas, de hecho la barra simula un barco y las ventanas del establecimiento tambien, en la entrada un muñeco de Pirata lo recibirá... La comida es muy buena, tiene un plus de que ellos mismos se encargan de hacer la panaderia del restaurante, lo cual creo que es un valor agregado para el lugar.",29-junio-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","El servicio es muy bueno. El lugar está bonito. La comida sin embargo para el precio que tiene no es nada espectacular. La verdad no volvería. Mi mariscada estaba súper seca, los mariscos parecían como recién descongelados en vez de estar frescos como deberían de estar estando tan cerca del mar.... ",24-junio-2017,2
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Si van camino a Jaco encontraran este sitio a mano izquierda , si vienen de Jaco y quieren comer algo con solo cruzar a mano derecha 50 mts del club punta leona Se encuentra este restaurante , justo al lado de Hotel Costa Del Sol . Todo ambientado muy bonito y agradable cubierto de madera y como los barcos piratas con barriles de cervezas por doquier como parte de la decoracion . No crean por su exterior que es caro , creo que los precios están bien acorde a la buena comida que sirven y a la atencion . La Sopa y el pescado que me comí estaban excelentes !! Buena atencion , Y la comida de verdad riquisima !!! RECOMENDADO ! ",29-mayo-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","El lugar es muy bonito con una agradable decoración pero la comida es apenas buena, la decoración del lugar esta a la venta lo que me parece interesante pero los precios de la decoración son un poco caros. El precio de la comida está bien",16-abril-2017,3
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Hoy estuvimos en los toneles en Jaco, muy rica la cervaza artesanal y el salpicon de pulpo .Excelente , comida de muy buena calidad.Nos atendio Glen , perfecta atencion.",12-abril-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","El pasado 10 de abril pasamos a almorzar, cómo íbamos con una perrita preguntamos si era posible que ella estuviera con nosotros, para lo cual muy amablemente nos dijeron que si (pero en las mesas de afuera). Nos atendieron muy bien y atendieron todas las consultas. En mi caso pedí el sandwich cuba que estaba muy bueno (solo que si era bastante grande para que lo tengan presente). El precio es razonable (10mil por persona en promedio). Definitivamente será una opción a visitar nuevamente esperando que mantengan un excelente servicio y calidad en la comida.",11-abril-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","El restaurante es muy pintores y agradable, la comida especializados en See Food pero lo mejor de todo es lo servicial y amables que es  el personal.Junto con la comida traen un pan hecho por ellos muy rico y varios aderezos.La comida buena.",29-marzo-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384",Super and highly recommend this place...Plus You must try Mojitos also salpicon de pulpoHe viajado mucho y este lugar tiene el mejor mojito que yo he tomado ...tambien la comida super deliciosa pedimos 4 platillos y todos fueron una delicia.. Gracias Gerson por tu amabilidad y tus sugerencias...,7-marzo-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","He estado aqui otras veces , el servicio y calidad es constante. Es la parada perfecta antes de llegar a Jaco.",4-marzo-2017,5
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Nos gustó el servicio y el lugar, se come rico...solo que la salsa de los camarones decía que era de mango picante pero no tenía picante. ",3-marzo-2017,4
g309287-d10139478,Restaurante Los Toneles,4.5,"Latina, Mariscos, Internacional, Parrilla, Costarricense","100 meters north of Clup Punta leona, Puntarenas 61102 Costa Rica","9.714433,-84.63384","Pasamos al restaurante a desayunar con un grupo de amigos porque tenía muy buenas puntuaciones en el trip advisor... pero sinceramente los desayunos NO son el plato fuerte del lugar! Para los ticos que sabemos qué es un buen desayuno, éste no es el lugar correcto para hacerlo! La verdad lo comimos porque evidentemente teníamos hambre... pero NO volveremos a pasar! Primera y última! Si es un restaurante de comida internacional donde confluye mucho extranjero, deberían de al menos, dar una buena experiencia con el desayuno típico al que estamos acostumbrados en tiquicia! El pinto no sabía a nada, el jugo de naranja de mala calidad, el pan horrible, los panqueques demasiado gruesos y sin sabor!!! ",26-febrero-2017,2
