ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","La comida deliciosa, las recomendaciones espectaculares y el trato del personal excelente... Un lugar excepcional para pasar una linda velada",2-agosto-2022,5
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","La comida es deliciosa y el ambiente acogedor...el servicio al cliente es casi perfecto...solo deberian poner otra música que le haría competir con cualquier restaurante para ir a cenar con amigos o pareja....los baños quedan en un segundo piso y hay que subir varias gradas, por aquello que eso dificulte...es caro, pero vale la pena la calidad y al cliente le tratan de buscar soluciones",27-julio-2021,4
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Muy buen Restaurant, amplio, ambiente sobrio. Buena atención y comida excelente, vamos con frecuencia y siempre satisfechos. La pasta muy buena, pescados excelentes, la carne de calidad u el rabo de res inigualable, diferentes a todos los que he comido y con mucho el mejor.",5-marzo-2021,4
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Fuimos a celebrar el cumpleaños de mi novio y ha sido la mejor fiesta gastronómica! Los platillos con un sabor inigualable, las bebidas refrescantes. Quedamos con las ganas de volver pronto!",15-noviembre-2020,5
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Hemos ido en muchas oportunidades y en diferentes épocas, en pareja incluso recientemente en grupo para celebrar con los empleados las navidades y el fin de año.En todas las oportunidades la atención ha sido excelente, la comida de alta calidad, muy buen sabor y gran presentación. Hemos degustando gran parte de su extensa oferta gastronómica, tienen 2 tipos de carta, la de brasas y la italiana(2 restaurantes en uno), dentro de nuestros favoritos esta: rabo de toro (en una preparación original muy diferente a la clásica) los pescados en general con cualquier preparación, pasta, carnes y recientemente se preparo una paella para 12 personas, muy buena con abundantes y excelentes ingredientes. Muy recomendable restaurante  ",9-diciembre-2019,4
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Este lugar es muy bonito, con un ambiente acogedor y muy buen servicio.Otras veces he comido aquí y los alimentos son muy sabrosos. Pero hoy cometí el error de pedir ""tortilla española"" (tortilla de patatas) y fue francamente decepcionante.A quien vaya a comer, le sugiero pedir otra cosa, y al restaurante le sugeriría mejorar la receta.",1-diciembre-2019,3
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","El ambiente del lugar es muy agradable, ya sea que vaya uno de negocios o de placer, lo pasa uno bien. El servicio es muy bueno y te saben orientar sobre maridaje. Imperdible la variedad de pizzas y postres.",13-noviembre-2019,5
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Visitamos el restaurante el miercoles 12 de Junio 2019 la atencion fue excelente primero pasamos al bar por unas bebidas fuimos atendidos por la señorita Lohanna quien nos atendio de la mejor manera siempre atenta, amable y con una sonrisa para ofrecernos.. La comida espectacular el ambiente super agradable, Definitivamente de los lugares donde quedas con las ganas de volver.. Gracias",19-junio-2019,5
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","yo y mi hija llegamos volviendo del areopuerto y paramos en este restaurante muy lindo, ordenamos dos entradas y dos platos fuertes.Las entradas llegaron rápidamente y eran discretamente buenas, para que llegaran los platos fuertes tuvimos que esperar 45 minutos, ya casi no teníamos hambre, el restaurante no estaba ni siquiera lleno por la mitad, ademas nuestra mesa estando a la esquina de la sala interior cerca de una puerta/ventana a la sala en el patio, estaba rodeada te moscas, tanto que no pude empezar a comer que una de ellas se quedó pegada a la salsa de mi plato. Mi hija tomó foto de la cantidad de moscas en la esquina en el piso a la par de nuestra mesa.Me cambiaron el plato y me lo llevé, mi hija dejó el suyo y nos fuimos disgustados.Una lastima, el lugar es precioso pero el servicio fue muy lento y la higiene muy pero muy mal.no voy a poner la foto de las moscas pero aqui la tengo.No creo volver a este restaurante.",4-junio-2019,1
g309257-d9681628,IL CAVALLINO RESTAURANTE,4.5,"Italiana, Pizzería, Mediterránea, Europea","Belen Heredia Centro Corporativo El Cafetal, San Antonio De Belen 40701 Costa Rica","9.989431,-84.17261","Ambiente relajado, muy buena comida y atención. Nos atendió Edwin, se nota su capacitación y conocimiento para satisfacer hasta los clientes más exigentes. Súper recomendado.",22-marzo-2019,5
