,Tipo_Comida,Calificacion_Comentario,Comentario,Comentario corregido
0,"Mariscos, Centroamericana, Costarricense",negative,"En realidad no sabíamos a donde ir, si queríamos comer mariscos así que entramos, primero tuvimos que esperar excesivo tiempo para la entrada y aun más para el plato fuerte, tomando en cuenta que eramos los únicos en el restaurante fue mucho tiempo, al llegar la comida fue bastante sencilla y muy incipida, por lo cual la relación calidad VS precio fue muy decepcionante... Creo que no volvere más a este sitio durante mis vacaciones! ","En realidad no sabíamos a donde ir, si queríamos comer mariscos así que entramos, primero tuvimos que esperar excesivo tiempo para la entrada y aun más para el plato fuerte, tomando en cuenta que eramos los únicos en el restaurante fue mucho tiempo, al llegar la comida fue bastante sencilla y muy incipida, por lo cual la relación calidad VS precio fue muy decepcionante... Creo que no volvere más a este sitio durante mis vacaciones! "
1,"Latina, Costarricense",negative,"Fuimos a este restaurante según recomendación del Los Suenos Marriott. Era nuestra primera noche en la ciudad y que no conocen la zona. Fue un miércoles por la noche y tenían un buffet que incluye bebidas y postre pero fue USD $70 por persona!. La calidad no era genial y teníamos mucho mejores cenas a menos que el costo de un buffet en el restaurante. El camarero me informó que el buffet era la mejor manera de ir porque una comida con aperitivo, plato principal, postre y bebida sería el mismo que el precio del buffet. Quizás si puedes pedir del menú, la comida es mejor. El buffet tenía sushi, ensaladas, sopas, puré de patatas, espaguetis, pescado dedos (frías), langosta (local, así que no esperéis gran Caribe langostas).","Fuimos a este restaurante según recomendación del Los Suenos Marriott. Era nuestra primera noche en la ciudad y que no conocen la zona. Fue un miércoles por la noche y tenían un buffet que incluye bebidas y postre pero fue USD $70 por persona!. La calidad no era genial y teníamos mucho mejores cenas a menos que el costo de un buffet en el restaurante. El camarero me informó que el buffet era la mejor manera de ir porque una comida con aperitivo, plato principal, postre y bebida sería el mismo que el precio del buffet. Quizás si puedes pedir del menú, la comida es mejor. El buffet tenía sushi, ensaladas, sopas, puré de patatas, espaguetis, pescado dedos (frías), langosta (local, así que no esperéis gran Caribe langostas)."
2,"Estadounidense, Bar, Pub, Centroamericana",negative,"El sabado 6 de Junio estuve con unos amigos, era mi segunda vez; y la comida decepcionó una vez mas. La primera vez que estuve pedí unas alitas y el sabado pasado unas costillas. No se las recomiendo","El sabado 6 de Junio estuve con unos amigos, era mi segunda vez; y la comida decepcionó una vez mas. La primera vez que estuve pedí unas alitas y el sabado pasado unas costillas. No se las recomiendo"
3,"Pizzería, Pub, Estadounidense",negative,"He estado allí dos veces, tanto el servicio de veces ha sido terrible, y esta noche que no tenían la cerveza que yo quería, y tras unos 15-20 minutos de pedir mi comida me dijeron que no tenían mi elección.","He estado allí dos veces, tanto el servicio de veces ha sido terrible, y esta noche que no tenían la cerveza que yo quería, y tras unos 15-20 minutos de pedir mi comida me dijeron que no tenían mi elección."
4,"Bar, Estadounidense, Pub",negative,Paramos en un viernes por la noche por una cerveza y nachos. nachos eran caros y nunca me preguntó si quería más de 1 cerveza. Sábado en el bar durante 20 minutos con un vaso vacío de cerveza y estaba completamente ignorado y ni siquiera se llena de gente.,Paramos en un viernes por la noche por una cerveza y nachos. nachos eran caros y nunca me preguntó si quería más de 1 cerveza. Sábado en el bar durante 20 minutos con un vaso vacío de cerveza y estaba completamente ignorado y ni siquiera se llena de gente.
5,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",negative,"tuve la pésima idea de ir a comer una de las noches que estaban con esas promociones de cupones, fatal, demasiada gente, pésimo servicio, todas las porciones reducidas a pesar que yo NO compre con cupón. Insisto, mala idea.","tuve la pésima idea de ir a comer una de las noches que estaban con esas promociones de cupones, fatal, demasiada gente, pésimo servicio, todas las porciones reducidas a pesar que yo NO compre con cupón. Insisto, mala idea."
6,"Churrasquería, Parrillada, Argentina, Española, Sudamericana",negative,"El personal es amable, pero lento(puede ser problema de cocina). Los calidad de la carne es promedio y los precios altos. Definitivamente no lo recomiendo, hay otros lugares mucho mejores.","El personal es amable, pero lento(puede ser problema de cocina). Los calidad de la carne es promedio y los precios altos. Definitivamente no lo recomiendo, hay otros lugares mucho mejores."
7,"Latina, Bar, Centroamericana, Costarricense, Fusión",negative,"Hoy visite el restaurante con una pareja de adultos mayores de Uruguay por la cercanía al museo y por el tema de comida típica decidí esta opción...pésima elección, los saloneros sumamente lentos y descortéses ...ninguno nos quería atender? no sé porqué seguramente pensaron que todos eramos nacionales o que no íbamos a dejar propina porque curiosamente un grupo de USA que se sentó a nuestro lado fue atendido en forma inmediata.... la comida es regular aunque lo sentí demasiado caro para la calidad los refrescos naturales sin sabor muy desagradable...busquen otras opciones no vale la pena visitarlos","Hoy visite el restaurante con una pareja de adultos mayores de Uruguay por la cercanía al museo y por el tema de comida típica decidí esta opción...pésima elección, los saloneros sumamente lentos y descortéses ...ninguno nos quería atender? no sé porqué seguramente pensaron que todos eramos nacionales o que no íbamos a dejar propina porque curiosamente un grupo de USA que se sentó a nuestro lado fue atendido en forma inmediata.... la comida es regular aunque lo sentí demasiado caro para la calidad los refrescos naturales sin sabor muy desagradable...busquen otras opciones no vale la pena visitarlos"
8,"Estadounidense, Centroamericana, Costarricense, Café",negative,"Fui con la expectativa alta, pues se veía económico y muy bueno, la atención por parte del dueño (extranjero) es muy buena, pero las demás personas atienden pésimo, para colmo de males duraron aproximadamente una hora en traer nuestra comida, sabía bien, pero ya estábamos indispuesto, nunca más volveremos. ","Fui con la expectativa alta, pues se veía económico y muy bueno, la atención por parte del dueño (extranjero) es muy buena, pero las demás personas atienden pésimo, para colmo de males duraron aproximadamente una hora en traer nuestra comida, sabía bien, pero ya estábamos indispuesto, nunca más volveremos. "
9,Mariscos,negative,"Cuando descubro un restaurante los hago en etapas y realmente la primera prueba de Este restaurantes ha sido fatal , pedimos dos entradas para compartir y unas bebidas ,, el bucket de papas y mariscos , un precio nada generoso y comparada con el engaño de porción , gigante a simple vista , un 75% papas , de resto muchas conchas empanizadas uno que otro camarón pequeño y trozo de pescado un aro de calamar si acaso , no se qué concepto de mariscos y tienen allí pero realmente empanizar conchas es lo más estafador que pueden vender hacer volumen de algo que es al atractivo del “plato” donde la mayoría son papas , acompañada de una “ tártara” no se pero no perdono el uso de mayonesa de tarro , me parece que al menos un restaurante que figura en La lista de mejores de la zona y de mariscos deberían hacrr su propia tártara , que por cierto la tártara lleva algo más que pepinillos . ₡9350 por comer papas y conchas con Hellmans , no no no . Un tartar de atún que es un insulto a la cocina tradicional , un marinado nada especial , a pura soya , un corte bruto una presentación de soda , una porción decente pero sin mucho sabor servido en un bowl sin cariño sin personalidad un sabor nada particular , algo simple tosco , común y rápido, un tartar que debería ser algo especial , hay que esforzarse por convertirlo en un estilo de soda e le queda grande el nombre de un platillo tan icónico .... en fin decepcionante , esperaba más del 2 restaurante mejor calificado de curridabat.Rescato el servicio bastante profesional bastante amable y bueno . Y si lo voy a decir, no pueden tener mesas de soda donde los bordes están carcomidos por el uso , si no quieren poner mantel ,cambien esas mesas que ya dieron lo suyo o restaurenlas .","Cuando descubro un restaurante los hago en etapas y realmente la primera prueba de Este restaurantes ha sido fatal , pedimos dos entradas para compartir y unas bebidas ,, el bucket de papas y mariscos , un precio nada generoso y comparada con el engaño de porción , gigante a simple vista , un 75% papas , de resto muchas conchas empanizadas uno que otro camarón pequeño y trozo de pescado un aro de calamar si acaso , no se qué concepto de mariscos y tienen allí pero realmente empanizar conchas es lo más estafador que pueden vender hacer volumen de algo que es al atractivo del “plato” donde la mayoría son papas , acompañada de una “ tártara” no se pero no perdono el uso de mayonesa de tarro , me parece que al menos un restaurante que figura en La lista de mejores de la zona y de mariscos deberían hacrr su propia tártara , que por cierto la tártara lleva algo más que pepinillos . ₡9350 por comer papas y conchas con Hellmans , no no no . Un tartar de atún que es un insulto a la cocina tradicional , un marinado nada especial , a pura soya , un corte bruto una presentación de soda , una porción decente pero sin mucho sabor servido en un bowl sin cariño sin personalidad un sabor nada particular , algo simple tosco , común y rápido, un tartar que debería ser algo especial , hay que esforzarse por convertirlo en un estilo de soda e le queda grande el nombre de un platillo tan icónico .... en fin decepcionante , esperaba más del 2 restaurante mejor calificado de curridabat.Rescato el servicio bastante profesional bastante amable y bueno . Y si lo voy a decir, no pueden tener mesas de soda donde los bordes están carcomidos por el uso , si no quieren poner mantel ,cambien esas mesas que ya dieron lo suyo o restaurenlas ."
