ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Al inicio eran fabulosas,  ahora son solo buenas,  el sabor de la de chicharrón no sabe a la pupusa salvadoreña deliciosa.",6-noviembre-2018,4
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106",De los mejores lugares para comer pupusas. Barato. Grande. Delicioso. Las tiene todas. El lugar es muy agradable y la atención ni qué decir. No dejes de visitar este lugar.,21-mayo-2017,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106",Riquísimas pupusas. Excelente atención Mis favoritas.  Es un lugar con muy buena atención  al cliente.,29-marzo-2017,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Excelentes pupusas y tortillas preparadas a vista del cliente, refrescos y helados muy buenos, decoración del lugar con muy buen gusto, en el centro de Escazú",21-junio-2016,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Las dos veces he comprado para llevar. Las pupusas son muy buenas, al mejor estilo salvadoreño y unas tortillas con queso deliciosas. Súper recomendado. El lugar es pequeño por lo que talves es mejor pedir para llevar o aprovechar si hay espacio para sentarse un ratito y disfrutar de un fresco. La opción de sabores de pupusas por encargo es interesante y me encantaría probarlas.",6-marzo-2016,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Lugar impresionante! Fue aquí en marzo y tenía un largo bueno hablar con los propietarios; empresarios con visiones increíble y la comida muy, muy bien!",7-junio-2017,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Estos son nuestros favoritos papusas. Normalmente hacemos llegar una vez a la semana y llevarlos a comer en el parque. El llenado es repartidos por toda la masa, cosa que aprovechar cada bocado.",29-noviembre-2016,5
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106",Buena comida y diversión para ver las mujeres hacen la derecha fresca! pupusas Sin duda que tienen el sistema marque! !,23-noviembre-2016,4
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Ni siquiera llegar a probarlo, peor actitud posible del personal, apuesta la comida es buena, pero muy negativo ambiente",18-noviembre-2016,1
g309292-d8758540,P & P Pupusas,4.5,"Latina, Española","Escazu Centro Antiguo Cine, Frente Al Parque A Un Costado Del Banco Nacional, Escazú Costa Rica","9.919412,-84.141106","Este es un pequeño restaurante que se especializa en pupusas. Sus pupusas están entre los mejores que he comido nunca y a un precio muy razonable. La espera puede ser a veces un poco largo, pero definitivamente vale la pena la espera!",27-agosto-2016,5
