ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Muy caro, pescado pasado en la plancha, se queda seco.  No hablan de precios, hasta que llega la cuenta y te quedas de piedra, cerca de estafa no lo recomiendo",19-agosto-2021,1
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","El lugar es amplio, limpio. Precios relativos, para unos puede ser caro, para otros no. No tiene estacionamiento. Lo que no me gustó fue que pedimos una cosa y el mesero aunque repasó la orden, nos trajo algo diferente y no quisieron aceptar su error!...Si van a ordenar, asegurense que sea la orden correcta! Pregunten los precios antes de ingresar! Y sí, nos tocó pagar lo que no pedimos!Más",14-febrero-2021,2
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Porciones bastante grandes, precios de acorde a la calidad. Muchas gracias a los muchachos, excelente servicio y comida deliciosa. Sin duda alguna, volveremos!",6-junio-2020,5
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Hola este restaurante es lo mejor de lo mejor lo recomiendo al 100% un excelente servicio y excelente marisco ,, es lo mejor muchas gracias por todo.",25-febrero-2020,5
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246",Marisquería La Ostra se distingue por su buen servicio y por la calidad de sus platillos. Los mariscos es su especialidad y es un restaurante popular de gama media a baja.,16-febrero-2020,5
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Los mariscos, el filete de pescado empanizado y los patacones muy buenos. El servicio excelente y de precio bastante competitivo.",27-diciembre-2019,4
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Comí un ceviche muy rico y fresco y después un pulpo que estaba muy bueno, sabroso.  Un poco caluroso al ser abierto en las paredes, pero vale la pena por la comida. Volvería de todas maneras. La atención  excelente.",29-noviembre-2019,4
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Deliciosa comida, abundante, muy buen servicio, los mariscos súper frescos, el pulpo en el punto justo, y el filet de pescado con espinaca y camarones una combinación deliciosa! La ambientación del lugar también muy bonita!",21-noviembre-2019,5
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Esta Marisquería localizada en Jacó, Pacífico medio de Costa Rica, muy buena cocina y lo mejor es que es garantizado que los productos vendidos son totalmente frescos, los propietarios son pescadores y tienen siempre productos frescos. Buena cocina. Bien recuerdo omendado",6-agosto-2019,4
g309271-d3842935,Marisqueria la Ostra #2,4.0,"Mariscos, Centroamericana, Costarricense","Centro Contiguo a la Heladeria El Barco, Jaco, Garabito Municipality 61101 Costa Rica","9.710358,-84.636246","Lugar céntrico, amplio, servicio algo lento. Menú variado, buenos refrescos naturales. Ha bajado un poco la calidad, en especial de la salsa de la ensalada de atún. Ofrece buenos acompañamientos con ingredientes variados. Precios adecuados.",25-julio-2019,4
