ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Nos habían recomendado mucho el sushi de Fuji y no se equivocaron, estaba deliciosos. Y amé el helado Tepanyaki!!Además la atención de todos los trabajadores es de primera, si visitan San José, es un lugar la que deben de ir sí o sí.",11-agosto-2022,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Hicimos una reserva en la mesa teppanyaki y además de que la comida es abundante y deliciosa la experiencia es inolvidable.Poder ver como te preparan la comida y poder participar es una hermosa experiencia, no hay tiempos de espera porque siempre están interactuando.Un lugar para volver muchas veces.",29-marzo-2022,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","El día 09-12-2021 fuimos a Fuji, tardaron más de 30 minutos para tomarnos la orden, la celebración de mi cumpleaños, 10 personas, 7pm. Los meseros nos veían y no nos atendieron. Cuando reclamamos pidieron disculpas aduciendo que no tenían a dos de sus compañeros….siguieron sin atendernos, al punto que estábamos analizando ir a otro restaurante…. No nos fuimos por la hora y la posible dificultad de encontrar espacio en otro sitio… Terrible espera e insatisfacción….",9-diciembre-2021,1
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933",Variedad de menú para todos los gustos. Las entradas frías recomendadas. Excelente servicio e instalaciones agradables.,11-abril-2021,4
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Un lugar increíblemente delicioso! Explosión de sabor en cada platillo, fresca, realizada en el momento. Agregado a la lista de restaurantes top. ",17-enero-2020,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Mi opción para el primer almuerzo del año. Ordené una combinación Fuji, que trae un california roll y seis piezas de sushi, preparado en una presentación impecable. Obviamente en sabor destaca en casa pieza. La diferencia está cuando tienes un cheff de las islas de Japón, que cortan cada pieza de pescado con escrupulosa perfección. Lo acompañamos con generoso sake caliente. Cerrando, helado de la casa Teppan con un espresso doble. Los precios no son populares pero el costo es justo por la calidad y el servicio que se recibe. Amplio parqueo del hotel. ¡La mejor forma de iniciar el Año Nuevo! ",1-enero-2020,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","la comida es de buena calidad y sabor, el servicio muy bueno el lugar tranquilo. el personal atento y amable.",21-noviembre-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Situado en el interior del Hotel Crowne Plaza, este restaurante ofrece los mejores platillos de la comida japonesa, es gama alta.",14-octubre-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933",La comida estuvo deliciosa y el ramen es de los mejores del país. Autentica experiencia culinaria japonesa preparada por chefs provenientes del país. Altamente recomendado!,14-septiembre-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","No puedo más que recomendar este restaurante. Soy fanática de la gastronomía japonesa y sin dudarlo puedo decir que este es el mejor restaurante de comida japonesa del país. La experiencia del teppanyaki, donde cocinan la comida enfrente de ti es insuperable, te explican paso a paso qué va a prepararse, los ingredientes que se utilizan e incluso te invitan a participar en la preparación de arroz. ¡Mil gracias por una experiencia inolvidable, chef Andrés! Mi novio y yo lo disfrutamos muchísimo y volveríamos mil veces.",8-septiembre-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","El Hotel es el lugar preferido para charlas médicas , cuenta con excelente sonido , pantallas, sin contaminación sónica , parqueo, y generalmente terminamos cenando en la barra del restaurante Fuji. Es un espectáculo donde los comensales participan, es delicioso, los chef son atentos hacia la gente alérgica algunas comidas. Excelente servicio",12-agosto-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Bajo la coordinación del señor Chacón y por ser los comensales un grupo de 14 personas, tuvimos el apoyo de dos fabulosos ""tepanyakeros"" (Franchesco y Andrés) que nos hicieron una tarde de ensueño al paladar y a la vista. Uno realmente asiste a un espectáculo culinario y lo disfruta en un ambiente muy familiar, atendido con mucha delicadeza y profesionalismo. El cierre del almuerzo fue un postre delicioso, cocinado en la plancha y que lo deja a uno soñando con un pronto regreso.",15-julio-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","El restaurante esta adentro de un hotel (Crowne Plaza) y la neta esta super bueno. Les recomiendo pedir el barco de sushi, no lo pedimos porque nos dio frio, pero la neta la comida estaba tan buena que debimos hacerlo.",28-junio-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","excelente lugar para la Ge te que le gusta la comida japonesa el tepanyaki excelente , la atención rápida y muy amables todos, agradecimiento en especial a Michael CHacon y Richard Rodríguez",23-abril-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","El dia de hoy mis amigas y yo fuimos a degustar una excelente comida jamas pense que el sushi fuera tan delicioso, ademas excelente servicio regresaremos pronto...comida realmente deliciosa.",17-abril-2019,5
g309293-d1128840,Fuji,4.0,Japonesa,"Autopista General Cañas Crowne Plaza Hotel Corobicí, San José Costa Rica","9.939715,-84.09933","Verdaderos y excelentes chefs de sushi. Producto siempre fresco. Sushi de verdad. Excelente servicio, Michael El Capitan nos atendió súper bien. Súper recomendado.",7-abril-2019,5
