ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","El ambiente muy lindo ,un hermoso lugar ,esta en una casa antigua del barrio Escalante ,la comida estuvo deliciosa ,el postre no mucho .",9-mayo-2022,4
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Cuenta con parqueo pequeño, pero al lado hay un estacionamiento. Desde que se ingresa el servicio es excepcional, te ubican en una mesa, tanto el primer piso como el segundo tienen espacios acogedores. El menú es variado, la comida y los postres muy sabrosos, buenos vinos. ",3-octubre-2021,5
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Comida genial, los precios son un poco elevados pero vale la pena, el volcán de chocolate es un 100%",4-abril-2021,4
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","mi hija y mi nieto pidieron lasagna de carne, ese plato es de una confección descuidada y muy básica, Es un poco de pasta recocida rodeada de gran cantidad de pasta de tomate ácida. con un poquito de queso encima.esa salsa no tiene nada de elaboración, es difícil comerla pues la acidez invade todo el plato.me pregunto si esa característica es por porque no era fresca o porque los ingrediente son de mala calidad. de hecho dejaron casi todo el plato..........la atención y el ambiente es muy buenos",17-septiembre-2020,2
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345",Uno de mis restaurantes favoritos antes de la pandemia y ahora con el express siguen siendo igual de buenos. El servicio y la calidad de la comida excelente.,23-agosto-2020,5
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Lugar muy tranquilo, con pocos comensales, debido a las restricciones por el coronavirus.El vino argentino muy bueno, fuerte de muy buen sabor.La entrada deliciosa, con ganas de haber seguido comiendola.El plato principal en su punto, delicioso, en cantidad suficiente. Al punto en su cocción. Excelente atención y precio razonable.Listo para volver.",12-abril-2020,4
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Este lugar es muy lindo y la comida muy rica también! Nos comimos unos platillos diferentes, raviolis limoncello, risotto de trufas y el tiramisú muy rico...lindo para familias, parejas o hasta ocasiones especiales!",25-febrero-2020,4
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Excelente servicio, deliciosa comida a precios justos. Siempre es una gran experiencia ir ahí. Lo he visitado varias veces y lo recomiendo 100%",2-febrero-2020,5
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Excelente servicio. La comida es deliciosa y cada plato es un deleite. Cada visita que he realizado, he quedado muy contento con todo. Muy recomendado.",18-enero-2020,5
g309293-d781450,Restaurante Limoncello,4.5,"Italiana, Mediterránea, Europea","Detrás del cine Magaly, Barrio La California Junto al parqueo Alma Roca, San José Costa Rica","9.932991,-84.067345","Anoche fui con un amigo a cenar a Limoncello. Nos atendieron Martín y Luis, como siempre con un gran profesionalismo, mesura y fineza. Ordenamos un lomito con reducción demi glace al vino tinto y hongos acompañado de una pasta con salsa de pomodoro. El resultado, una exquisitez!!! Lo acompañamos con un vino argentino malbec de La Posta con un sabor ligero y agradable.",15-enero-2020,5
