ID,Nombre,Calificación,Direccion,Tipo_Comida,Comentario,Calificacion_Comentario
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional",El pulpo a la parrilla es extraordinario! También comimos pescado entero y estaba bueno. Los precios son competitivos,5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","5 pescados enteros, BUENISIMO, el servicio muy profesional , frente al mar, buena brisa y seguro regresamos en proxima visita a la Perla del Pacifico",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","La calidad, tamaño y precio de la comida es bastante bueno! Además de buena presentacion de los alimentos.Tiene buena ubicación y atienden bien. Buenos protocolos aplicados.",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Muy buena comida, el pulpo a la parrilla o al ajillo, son una buena opción, también la mariscada. Las veces que he ido con mi familia, hemos salido satisfechos con el sabor y la atención.",4
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional",Los precios no equivalen a la calidad de la comida ni las porciones.El servicio tampoco es bueno y hace muchisimo calor en el rest.,3
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional",Almorcé y pedí libre de gluten El plato bien presentado muy buen sabor y el servicio bien lo recomiendo,4
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","La atención es muy buena, el lugar es fresco, limpio y confortable, la comida muy buena. Los productos son frescos y de muy buen sabor, definitivamente para regresar. El trío de ceviches, el ceviche de pescado y el pulpo al ajillo muy buenos!!!",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","El ceviche delicioso con buen limón, el pescado entero sin espinas se cocinó un poco más de la cuenta, deben tener cuidado, porque aunque la presentación de los platos fue excelente esos detalles bajan la calidad de la comida, la salsa tártara del pescado empanizado excelente. Mariscos frescos.Deben revisar los precios me pareció un poco costoso y la comida es normal.La infraestructura del lugar muy bella, la brisa del mar hace un ambiente muy fresco y ventilado!!",4
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Excelente atención y estupenda comida, frente al mar. Las carnes de finos cortes y frescos los mariscos Exquisita cena",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional",Creo que es uno de los restaurantes más bonitos que tiene Puntarenas. En una casa de madera antigua restaurada y bien acondicionada. Vista al mar. Hemos estado dos o tres veces ahí y en todas las ocasiones la comida ha estado deliciosa. Desde ceviche hasta camarones con arroz y servida en un buen tiempo. Mejores precios que en otros lugares de la misma zona incluso. Ambiente fresco y bien ventilado. Bonito lugar!,5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Fuimos a Puntarenas en mayo 2019, después de recorrer gran parte de los restaurantes de la calle pegada a la playa nos decidimos por Casa Almendro. Nos gustó porque tenía WiFi (vital para viajeros), los precios eran buenos y el lugar agradable. Fuimos súper bien recibidos y atendidos. Para iniciar nos dieron una crema de porotos negros maravillosa (quiero la receta jaja), además un casado y ceviche. No se porque le ponen algo dulce en Costa Rica al ceviche, si bien no es malo prefiero lo tradicional con limón y aceite de oliva. Muy buen lugar, acogedor y curioso, saque foto al baño porque tenía algo novedoso para mi, aire acondicionado exclusivo por baño. Una maravilla. Comida rica, rápidos, precios justos y excelente atención. ",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Es un lugar muy agradable, bien atendido y con buena comida. La Casa Almendro tiene un aire típico porteño, de casa veraniega y por supuesto, frente al mar, como se usaba cua do Puntarenas era un destino para vacaciones. La comida es excelente y el servicio excepcional. Es de los pocos buenos lugares que quedan en Puntarenas, que mantienen la calidad y ofrecen siempre novedades.",5
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Excelente lugar para ir a comer y disfrutar del paisaje de Puntarenas, tienen rampa para el ingreso en silla de ruedas, lo que nos permitió un fácil acceso e inmediatamente nos buscaron mesa para poder colocarla sin estorbar a las demás personas. La comida además de tener buena presentación es muy sabrosa, no hay queja en cuanto a la atención y la limpieza. Recomendado el churchill de postre! ",4
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Es un lugar agradable, con vista al mar excelente atención, la comida deliciosa, precios acordes a la calidad de la comida.",4
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional",Mi familia y yo almorzamos en este lugar. Las ordenes demoran mucho en llegar y cuando mis hijos terminaron de comer sus platos apenas nos estaban sirviendo los nuestros. Atención regular ya que nos traían platos que correspondían a otras mesas. El precio es alto para el servicio que se da.,3
"9.974759,-84.841255",Casa Almendro,4.0,"Calle 21 Paseo de Los Turistas, Puntarenas Hotel Tioga, Puntarenas 60101 Costa Rica","Latina, Mariscos, Centroamericana, Costarricense, Internacional","Muy excelente atención y la comida esquicita 100% recomendado, con una gran vista al mar es un lugar para visitar en Puntarenas",4
