ID,Nombre,Calificación,Tipo_Comida,Direccion,Coordenadas,Comentario,Fecha_Comentario,Calificacion_Comentario
g309293-d12386341,Il Rifugio,5.0,N/E,"Calle 33 Avenida 1 San Juan de Poas, de la entrada de Cabuyal 200 sur, San Pedro de Poas , Alajuela, Costa Rica, San José 20801 Costa Rica","9.932862,-84.06408","Servicio, alimentación, lugar, ambiente.Simplemente tiene todo.Super recomendado.Cada vez que puedo ir, voy... estoy enamorado del lugar.Gracias a Santos y su señora por hacer de este lugar mi lugar favorito.",23-junio-2022,5
g309293-d12386341,Il Rifugio,5.0,N/E,"Calle 33 Avenida 1 San Juan de Poas, de la entrada de Cabuyal 200 sur, San Pedro de Poas , Alajuela, Costa Rica, San José 20801 Costa Rica","9.932862,-84.06408","Tengo la extraña sensación de que la comida es mucho más que el ambiente. Es un lugar agradable, muy informal, pero la comida es elegante y decadente. La ubicación en el emblemático Barrio Escalante, que está repleto de restaurantes pretenciosos y caros, ya que es el nuevo ""IN"" en San José, puede salvarte de un mal servicio, mala comida, experiencia costosa. Esto es lo que yo llamo un restaurante, su comida lo convierte en lo que es, una rara fusión de mariscos con restaurante italiano, pero todos los que he probado están bien preparados y sin embargo. Tienen pastas clásicas y un fantástico Ceviche de Pescado con una porción adecuada, el ceviche en Costa Rica suele ser caro y se sirve en porciones pequeñas, no aquí. Si desea visitar esta nueva atracción, visite el Tío Charly para una muy buena comida a un precio asequible.",16-marzo-2018,5
g309293-d12386341,Il Rifugio,5.0,N/E,"Calle 33 Avenida 1 San Juan de Poas, de la entrada de Cabuyal 200 sur, San Pedro de Poas , Alajuela, Costa Rica, San José 20801 Costa Rica","9.932862,-84.06408","He vivido en Barrio Escalante por dos años y esta es la mejor comida en el barrio. La mayoría de los lugares en Escalante sirven comida promedio a precios superiores. Aqui no. Los platos del tío Charly son de primera calidad, sabrosos y abundantes. La música es perfecta y el servicio es inmejorable.",9-noviembre-2017,5
g309293-d12386341,Il Rifugio,5.0,N/E,"Calle 33 Avenida 1 San Juan de Poas, de la entrada de Cabuyal 200 sur, San Pedro de Poas , Alajuela, Costa Rica, San José 20801 Costa Rica","9.932862,-84.06408","Los mejores mariscos alrededor de Barrio Escalante.Ensalada de pulpo!Mejillones!Ejecutivo de la comida durante los días de semana es una muy buena opción calidad precio, con ceviche.Servicio tiene que mejorar.",1-mayo-2017,4
g309293-d12904317,Liquida,5.0,"Saludable, Bar, Café, Pub","Avenida 11 Calle 33 From the Fresh Market in Barrio Escalante, 1 block north and quarter block west, San José Costa Rica","9.936747,-84.063416","Genial lugar para tomar cafe o un refrigerio, excelente servicio y excelente ambiente. en general un 10 de 10",15-julio-2018,5
g309293-d12904317,Liquida,5.0,"Saludable, Bar, Café, Pub","Avenida 11 Calle 33 From the Fresh Market in Barrio Escalante, 1 block north and quarter block west, San José Costa Rica","9.936747,-84.063416","No hay mejor lugar para llenarse de energía que en Liquida, ubicado en Barrio Escalante, Liquida es un pequeño lugar donde abunda la creatividad, no solo en el diseño del local si no también en su propuesta que va desde Smoothie Bowls, Batidos hasta Helados.Me pedí un Smoothie Bowl Quest, lo acompañe com Coco, Almendras y Caramelo de Dátil, de batido un All In y para llevar un Wicked, una limonada con carbón activado perfecto para desintoxicar el cuerpo.La atención fue excelente, el tiempo de espera un poco mas de lo que imaginaba pero valió por mucho la pena.Espero volver a probar los helados.",7-julio-2018,5
g309293-d12904317,Liquida,5.0,"Saludable, Bar, Café, Pub","Avenida 11 Calle 33 From the Fresh Market in Barrio Escalante, 1 block north and quarter block west, San José Costa Rica","9.936747,-84.063416","Una barra de bebidas que sorprende. En Liquida se pueden encontrar desde refrescos hasta infusiones frías o calientes. Se pueden hacer sus combinaciones propias o probar las creaciones del lugar. Es un lugar pequeño pero muy divertido para pasar cuando se ande paseando por escalante. Ofrecen la opcion de comprar unas hermosas botellas de vidrios para volver y volver. O vasos de cartón amigables con el ambiente. Las combianciones del lugar son locas pero todas interesantes. Recomiendo el WICKED, una limonada negra muy vacilona. O el OLDSCHOOL un fresco muy natural. Hay de todo y para todos los gustos. Recomendado.",30-septiembre-2017,5
g309293-d12904317,Liquida,5.0,"Saludable, Bar, Café, Pub","Avenida 11 Calle 33 From the Fresh Market in Barrio Escalante, 1 block north and quarter block west, San José Costa Rica","9.936747,-84.063416","Probé el helado hecho con carbono y me gusta mucho. Por favor visite, este es un buen lugar y tener las cosas siempre innovadora para probar.",21-agosto-2018,5
g309293-d10593470,Restaurante Puro Perú,4.0,"Peruana, Latina, Mariscos, Española, Sudamericana","Quechereguas 857 50 norte de Intensa, San José 10101 Costa Rica","9.934099,-84.063225","Fui anoche. Nunca sirvieron el ceviche . Al pagar, la mesera me sale con cuentos y dice que no emiten factura. Cuando llama al dueño (supongo) me dicen que no debo pagar por el olvido de mi orden. Que emitirán factura a partir de la próxima semana Asegúrense de pedir factura !!!",14-julio-2019,1
g309293-d10593470,Restaurante Puro Perú,4.0,"Peruana, Latina, Mariscos, Española, Sudamericana","Quechereguas 857 50 norte de Intensa, San José 10101 Costa Rica","9.934099,-84.063225",La comida muy rica bien preparada porcion grande y la atencion tambien es muy buena le explican que ingredientes lleva etc. Recomendado,26-septiembre-2018,5
